week,date,vis,home,boxscore
4,2025-09-28,BAL,KC,202509280kan
4,2025-09-28,GB,DAL,202509280dal
4,2025-09-29,NYJ,MIA,202509290mia
4,2025-09-29,CIN,DEN,202509290den
5,2025-10-02,SF,LAR,202510020ram
5,2025-10-05,MIN,CLE,202510050cle
5,2025-10-05,MIA,CAR,202510050car
5,2025-10-05,LV,IND,202510050clt
5,2025-10-05,DAL,NYJ,202510050nyj
5,2025-10-05,DEN,PHI,202510050phi
5,2025-10-05,HOU,BAL,202510050rav
5,2025-10-05,NYG,NO,202510050nor
5,2025-10-05,TEN,ARI,202510050crd
5,2025-10-05,TB,SEA,202510050sea
5,2025-10-05,DET,CIN,202510050cin
5,2025-10-05,WAS,LAC,202510050sdg
5,2025-10-05,NE,BUF,202510050buf
5,2025-10-06,KC,JAX,202510060jax
6,2025-10-09,PHI,NYG,202510090nyg
6,2025-10-12,DEN,NYJ,202510120nyj
6,2025-10-12,DAL,CAR,202510120car
6,2025-10-12,CLE,PIT,202510120pit
6,2025-10-12,ARI,IND,202510120clt
6,2025-10-12,SEA,JAX,202510120jax
6,2025-10-12,LAC,MIA,202510120mia
6,2025-10-12,NE,NO,202510120nor
6,2025-10-12,LAR,BAL,202510120rav
6,2025-10-12,TEN,LV,202510120rai
6,2025-10-12,CIN,GB,202510120gnb
6,2025-10-12,SF,TB,202510120tam
6,2025-10-12,DET,KC,202510120kan
6,2025-10-13,BUF,ATL,202510130atl
6,2025-10-13,CHI,WAS,202510130was
7,2025-10-16,PIT,CIN,202510160cin
7,2025-10-19,LAR,JAX,202510190jax
7,2025-10-19,NO,CHI,202510190chi
7,2025-10-19,PHI,MIN,202510190min
7,2025-10-19,CAR,NYJ,202510190nyj
7,2025-10-19,MIA,CLE,202510190cle
7,2025-10-19,LV,KC,202510190kan
7,2025-10-19,NE,TEN,202510190oti
7,2025-10-19,IND,LAC,202510190sdg
7,2025-10-19,NYG,DEN,202510190den
7,2025-10-19,GB,ARI,202510190crd
7,2025-10-19,WAS,DAL,202510190dal
7,2025-10-19,ATL,SF,202510190sfo
7,2025-10-20,TB,DET,202510200det
7,2025-10-20,HOU,SEA,202510200sea
8,2025-10-23,MIN,LAC,202510230sdg
8,2025-10-26,MIA,ATL,202510260atl
8,2025-10-26,BUF,CAR,202510260car
8,2025-10-26,CHI,BAL,202510260rav
8,2025-10-26,SF,HOU,202510260htx
8,2025-10-26,NYJ,CIN,202510260cin
8,2025-10-26,CLE,NE,202510260nwe
8,2025-10-26,NYG,PHI,202510260phi
8,2025-10-26,TB,NO,202510260nor
8,2025-10-26,TEN,IND,202510260clt
8,2025-10-26,DAL,DEN,202510260den
8,2025-10-26,GB,PIT,202510260pit
8,2025-10-27,WAS,KC,202510270kan
9,2025-10-30,BAL,MIA,202510300mia
9,2025-11-02,ATL,NE,202511020nwe
9,2025-11-02,CHI,CIN,202511020cin
9,2025-11-02,MIN,DET,202511020det
9,2025-11-02,CAR,GB,202511020gnb
9,2025-11-02,IND,PIT,202511020pit
9,2025-11-02,DEN,HOU,202511020htx
9,2025-11-02,SF,NYG,202511020nyg
9,2025-11-02,LAC,TEN,202511020oti
9,2025-11-02,JAX,LV,202511020rai
9,2025-11-02,NO,LAR,202511020ram
9,2025-11-02,KC,BUF,202511020buf
9,2025-11-02,SEA,WAS,202511020was
9,2025-11-03,ARI,DAL,202511030dal
10,2025-11-06,LV,DEN,202511060den
10,2025-11-09,ATL,IND,202511090clt
10,2025-11-09,BUF,MIA,202511090mia
10,2025-11-09,NYG,CHI,202511090chi
10,2025-11-09,CLE,NYJ,202511090nyj
10,2025-11-09,JAX,HOU,202511090htx
10,2025-11-09,BAL,MIN,202511090min
10,2025-11-09,NO,CAR,202511090car
10,2025-11-09,NE,TB,202511090tam
10,2025-11-09,ARI,SEA,202511090sea
10,2025-11-09,DET,WAS,202511090was
10,2025-11-09,LAR,SF,202511090sfo
10,2025-11-09,PIT,LAC,202511090sdg
10,2025-11-10,PHI,GB,202511100gnb
11,2025-11-13,NYJ,NE,202511130nwe
11,2025-11-16,WAS,MIA,202511160mia
11,2025-11-16,CAR,ATL,202511160atl
11,2025-11-16,TB,BUF,202511160buf
11,2025-11-16,CHI,MIN,202511160min
11,2025-11-16,CIN,PIT,202511160pit
11,2025-11-16,GB,NYG,202511160nyg
11,2025-11-16,HOU,TEN,202511160oti
11,2025-11-16,LAC,JAX,202511160jax
11,2025-11-16,SF,ARI,202511160crd
11,2025-11-16,SEA,LAR,202511160ram
11,2025-11-16,BAL,CLE,202511160cle
11,2025-11-16,KC,DEN,202511160den
11,2025-11-16,DET,PHI,202511160phi
11,2025-11-17,DAL,LV,202511170rai
12,2025-11-20,BUF,HOU,202511200htx
12,2025-11-23,PIT,CHI,202511230chi
12,2025-11-23,NE,CIN,202511230cin
12,2025-11-23,IND,KC,202511230kan
12,2025-11-23,NYG,DET,202511230det
12,2025-11-23,MIN,GB,202511230gnb
12,2025-11-23,NYJ,BAL,202511230rav
12,2025-11-23,SEA,TEN,202511230oti
12,2025-11-23,CLE,LV,202511230rai
12,2025-11-23,JAX,ARI,202511230crd
12,2025-11-23,ATL,NO,202511230nor
12,2025-11-23,PHI,DAL,202511230dal
12,2025-11-23,TB,LAR,202511230ram
12,2025-11-24,CAR,SF,202511240sfo
13,2025-11-27,GB,DET,202511270det
13,2025-11-27,KC,DAL,202511270dal
13,2025-11-27,CIN,BAL,202511270rav
13,2025-11-28,CHI,PHI,202511280phi
13,2025-11-30,ATL,NYJ,202511300nyj
13,2025-11-30,SF,CLE,202511300cle
13,2025-11-30,HOU,IND,202511300clt
13,2025-11-30,ARI,TB,202511300tam
13,2025-11-30,JAX,TEN,202511300oti
13,2025-11-30,NO,MIA,202511300mia
13,2025-11-30,LAR,CAR,202511300car
13,2025-11-30,MIN,SEA,202511300sea
13,2025-11-30,BUF,PIT,202511300pit
13,2025-11-30,LV,LAC,202511300sdg
13,2025-11-30,DEN,WAS,202511300was
13,2025-12-01,NYG,NE,202512010nwe
14,2025-12-04,DAL,DET,202512040det
14,2025-12-07,SEA,ATL,202512070atl
14,2025-12-07,CIN,BUF,202512070buf
14,2025-12-07,TEN,CLE,202512070cle
14,2025-12-07,IND,JAX,202512070jax
14,2025-12-07,MIA,NYJ,202512070nyj
14,2025-12-07,WAS,MIN,202512070min
14,2025-12-07,NO,TB,202512070tam
14,2025-12-07,PIT,BAL,202512070rav
14,2025-12-07,DEN,LV,202512070rai
14,2025-12-07,CHI,GB,202512070gnb
14,2025-12-07,LAR,ARI,202512070crd
14,2025-12-07,HOU,KC,202512070kan
14,2025-12-08,PHI,LAC,202512080sdg
15,2025-12-11,ATL,TB,202512110tam
15,2025-12-14,BUF,NE,202512140nwe
15,2025-12-14,CLE,CHI,202512140chi
15,2025-12-14,BAL,CIN,202512140cin
15,2025-12-14,ARI,HOU,202512140htx
15,2025-12-14,NYJ,JAX,202512140jax
15,2025-12-14,LAC,KC,202512140kan
15,2025-12-14,WAS,NYG,202512140nyg
15,2025-12-14,LV,PHI,202512140phi
15,2025-12-14,CAR,NO,202512140nor
15,2025-12-14,IND,SEA,202512140sea
15,2025-12-14,GB,DEN,202512140den
15,2025-12-14,DET,LAR,202512140ram
15,2025-12-14,TEN,SF,202512140sfo
15,2025-12-14,MIN,DAL,202512140dal
15,2025-12-15,MIA,PIT,202512150pit
16,2025-12-18,LAR,SEA,202512180sea
16,2025-12-20,PHI,WAS,202512200was
16,2025-12-20,GB,CHI,202512200chi
16,2025-12-21,BUF,CLE,202512210cle
16,2025-12-21,TB,CAR,202512210car
16,2025-12-21,CIN,MIA,202512210mia
16,2025-12-21,LAC,DAL,202512210dal
16,2025-12-21,KC,TEN,202512210oti
16,2025-12-21,MIN,NYG,202512210nyg
16,2025-12-21,NYJ,NO,202512210nor
16,2025-12-21,ATL,ARI,202512210crd
16,2025-12-21,JAX,DEN,202512210den
16,2025-12-21,PIT,DET,202512210det
16,2025-12-21,LV,HOU,202512210htx
16,2025-12-21,NE,BAL,202512210rav
16,2025-12-22,SF,IND,202512220clt
17,2025-12-25,DAL,WAS,202512250was
17,2025-12-25,DET,MIN,202512250min
17,2025-12-25,DEN,KC,202512250kan
17,2025-12-27,HOU,LAC,202512270sdg
17,2025-12-27,BAL,GB,202512270gnb
17,2025-12-28,SEA,CAR,202512280car
17,2025-12-28,ARI,CIN,202512280cin
17,2025-12-28,PIT,CLE,202512280cle
17,2025-12-28,JAX,IND,202512280clt
17,2025-12-28,TB,MIA,202512280mia
17,2025-12-28,NO,TEN,202512280oti
17,2025-12-28,NE,NYJ,202512280nyj
17,2025-12-28,NYG,LV,202512280rai
17,2025-12-28,PHI,BUF,202512280buf
17,2025-12-28,CHI,SF,202512280sfo
17,2025-12-29,LAR,ATL,202512290atl
18,2026-01-03,CAR,TB,202601030tam
18,2026-01-03,SEA,SF,202601030sfo
18,2026-01-04,NO,ATL,202601040atl
18,2026-01-04,CLE,CIN,202601040cin
18,2026-01-04,IND,HOU,202601040htx
18,2026-01-04,DAL,NYG,202601040nyg
18,2026-01-04,GB,MIN,202601040min
18,2026-01-04,TEN,JAX,202601040jax
18,2026-01-04,NYJ,BUF,202601040buf
18,2026-01-04,DET,CHI,202601040chi
18,2026-01-04,ARI,LAR,202601040ram
18,2026-01-04,LAC,DEN,202601040den
18,2026-01-04,KC,LV,202601040rai
18,2026-01-04,MIA,NE,202601040nwe
18,2026-01-04,WAS,PHI,202601040phi
18,2026-01-04,BAL,PIT,202601040pit
