week,date,vis,home,boxscore
1,2025-09-04,DAL,PHI,202509040phi
1,2025-09-05,KC,LAC,202509050sdg
1,2025-09-07,TB,ATL,202509070atl
1,2025-09-07,CAR,JAX,202509070jax
1,2025-09-07,CIN,CLE,202509070cle
1,2025-09-07,MIA,IND,202509070clt
1,2025-09-07,ARI,NO,202509070nor
1,2025-09-07,LV,NE,202509070nwe
1,2025-09-07,NYG,WAS,202509070was
1,2025-09-07,PIT,NYJ,202509070nyj
1,2025-09-07,TEN,DEN,202509070den
1,2025-09-07,SF,SEA,202509070sea
1,2025-09-07,DET,GB,202509070gnb
1,2025-09-07,HOU,LAR,202509070ram
1,2025-09-07,BAL,BUF,202509070buf
1,2025-09-08,MIN,CHI,202509080chi
2,2025-09-11,WAS,GB,202509110gnb
2,2025-09-14,BUF,NYJ,202509140nyj
2,2025-09-14,CHI,DET,202509140det
2,2025-09-14,JAX,CIN,202509140cin
2,2025-09-14,CLE,BAL,202509140rav
2,2025-09-14,NYG,DAL,202509140dal
2,2025-09-14,NE,MIA,202509140mia
2,2025-09-14,SF,NO,202509140nor
2,2025-09-14,LAR,TEN,202509140oti
2,2025-09-14,SEA,PIT,202509140pit
2,2025-09-14,CAR,ARI,202509140crd
2,2025-09-14,DEN,IND,202509140clt
2,2025-09-14,PHI,KC,202509140kan
2,2025-09-14,ATL,MIN,202509140min
2,2025-09-15,TB,HOU,202509150htx
2,2025-09-15,LAC,LV,202509150rai
3,2025-09-18,MIA,BUF,202509180buf
3,2025-09-21,ATL,CAR,202509210car
3,2025-09-21,CIN,MIN,202509210min
3,2025-09-21,GB,CLE,202509210cle
3,2025-09-21,IND,TEN,202509210oti
3,2025-09-21,HOU,JAX,202509210jax
3,2025-09-21,PIT,NE,202509210nwe
3,2025-09-21,NYJ,TB,202509210tam
3,2025-09-21,LAR,PHI,202509210phi
3,2025-09-21,LV,WAS,202509210was
3,2025-09-21,DEN,LAC,202509210sdg
3,2025-09-21,NO,SEA,202509210sea
3,2025-09-21,DAL,CHI,202509210chi
3,2025-09-21,ARI,SF,202509210sfo
3,2025-09-21,KC,NYG,202509210nyg
3,2025-09-22,DET,BAL,202509220rav
4,2025-09-25,SEA,ARI,202509250crd
4,2025-09-28,MIN,PIT,202509280pit
4,2025-09-28,WAS,ATL,202509280atl
4,2025-09-28,NO,BUF,202509280buf
4,2025-09-28,CAR,NE,202509280nwe
4,2025-09-28,CLE,DET,202509280det
4,2025-09-28,TEN,HOU,202509280htx
4,2025-09-28,LAC,NYG,202509280nyg
4,2025-09-28,PHI,TB,202509280tam
4,2025-09-28,IND,LAR,202509280ram
4,2025-09-28,JAX,SF,202509280sfo
4,2025-09-28,CHI,LV,202509280rai
