player,team,slot,injury,pos_row,depth
Elijah Sarratt,BAL,WR4+,1,WR2,2
Cornelius Johnson,BAL,WR4+,1,WR2,3
Octavian Smith Jr.,BAL,WR4+,1,WR2,4
Devontez Walker,BAL,WR3,1,WR3,1
LaJohntay Wester,BAL,WR4+,1,WR3,2
Xavier Guillory,BAL,WR4+,1,WR3,3
Mark Andrews,BAL,TE1,1,TE,1
Durham Smythe,BAL,TE2,1,TE,2
Matthew Hibner,BAL,TE3,1,TE,3
Josh Cuevas,BAL,TE4,1,TE,4
Lucas Scott,BAL,FB1,1,FB,1
Joe Burrow,CIN,QB1,1,QB,1
Joe Flacco,CIN,QB2,1,QB,2
Josh Johnson,CIN,QB3,1,QB,3
Sean Clifford,CIN,QB4,1,QB,4
Chase Brown,CIN,RB1,1,RB,1
Samaje Perine,CIN,RB2,1,RB,2
Tahj Brooks,CIN,RB3,1,RB,3
Gary Brightwell,CIN,RB4,1,RB,4
Ja'Marr Chase,CIN,WR1,1,WR1,1
Colbie Young,CIN,WR4+,1,WR1,2
Ke'Shawn Williams,CIN,WR4+,1,WR1,3
Xavier Johnson,CIN,WR4+,1,WR1,4
Tee Higgins,CIN,WR2,1,WR2,1
Mitchell Tinsley,CIN,WR4+,1,WR2,2
Jordan Moore,CIN,WR4+,1,WR2,3
Dohnte Meyers,CIN,WR4+,1,WR2,4
Andrei Iosivas,CIN,WR3,1,WR3,1
Charlie Jones,CIN,WR4+,1,WR3,2
Kendric Pryor,CIN,WR4+,1,WR3,3
Noah Thomas,CIN,WR4+,1,WR3,4
Mike Gesicki,CIN,TE1,1,TE,1
Drew Sample,CIN,TE2,1,TE,2
Erick All Jr.,CIN,TE3,0,TE,3
Tanner Hudson,CIN,TE4,1,TE,4
Deshaun Watson,CLE,QB1,1,QB,1
Shedeur Sanders,CLE,QB2,1,QB,2
Dillon Gabriel,CLE,QB3,1,QB,3
Taylen Green,CLE,QB4,1,QB,4
Quinshon Judkins,CLE,RB1,0,RB,1
Dylan Sampson,CLE,RB2,1,RB,2
Raheim Sanders,CLE,RB3,1,RB,3
Ahmani Marshall,CLE,RB4,1,RB,4
Jerry Jeudy,CLE,WR1,0,WR1,1
Cedric Tillman,CLE,WR4+,1,WR1,2
Malachi Corley,CLE,WR4+,1,WR1,3
Luke Floriea,CLE,WR4+,1,WR1,4
KC Concepcion,CLE,WR2,1,WR2,1
Isaiah Bond,CLE,WR4+,1,WR2,2
Jamari Thrash,CLE,WR4+,1,WR2,3
Aaron Anderson,CLE,WR4+,1,WR2,4
Denzel Boston,CLE,WR3,1,WR3,1
Tylan Wallace,CLE,WR4+,1,WR3,2
Gage Larvadain,CLE,WR4+,1,WR3,3
Kole Wilson,CLE,WR4+,1,WR3,4
Harold Fannin Jr.,CLE,TE1,0,TE,1
Joe Royer,CLE,TE2,1,TE,2
Jack Stoll,CLE,TE3,1,TE,3
Blake Whiteheart,CLE,TE4,1,TE,4
Michael Burton,CLE,FB1,1,FB,1
Aaron Rodgers,PIT,QB1,1,QB,1
Mason Rudolph,PIT,QB2,1,QB,2
Will Howard,PIT,QB3,1,QB,3
Drew Allar,PIT,QB4,1,QB,4
Jaylen Warren,PIT,RB1,1,RB,1
Rico Dowdle,PIT,RB2,1,RB,2
Kaleb Johnson,PIT,RB3,1,RB,3
Eli Heidenreich,PIT,RB4,1,RB,4
DK Metcalf,PIT,WR1,1,WR1,1
Roman Wilson,PIT,WR4+,1,WR1,2
Eli Heidenreich,PIT,WR4+,1,WR1,3
Cole Burgess,PIT,WR4+,1,WR1,4
Michael Pittman Jr.,PIT,WR2,1,WR2,1
Ben Skowronek,PIT,WR4+,1,WR2,2
A.T. Perry,PIT,WR4+,1,WR2,3
Brandon Smith,PIT,WR4+,1,WR2,4
Germie Bernard,PIT,WR3,1,WR3,1
Kaden Wetjen,PIT,WR4+,1,WR3,2
Max Hurleman,PIT,WR4+,1,WR3,3
Joaquin Davis,PIT,WR4+,1,WR3,4
Pat Freiermuth,PIT,TE1,1,TE,1
Darnell Washington,PIT,TE2,1,TE,2
Robert Tonyan,PIT,TE3,1,TE,3
Jaheim Bell,PIT,TE4,1,TE,4
Riley Nowakowski,PIT,FB1,1,FB,1
C.J. Stroud,HOU,QB1,1,QB,1
Davis Mills,HOU,QB2,1,QB,2
Graham Mertz,HOU,QB3,1,QB,3
David Montgomery,HOU,RB1,1,RB,1
Woody Marks,HOU,RB2,1,RB,2
Jawhar Jordan,HOU,RB3,1,RB,3
British Brooks,HOU,RB4,1,RB,4
Nico Collins,HOU,WR1,1,WR1,1
Xavier Hutchinson,HOU,WR4+,1,WR1,2
Justin Watson,HOU,WR4+,1,WR1,3
Treyvhon Saunders,HOU,WR4+,1,WR1,4
Jayden Higgins,HOU,WR2,1,WR2,1
Tank Dell,HOU,WR4+,0,WR2,2
Josh Kelly,HOU,WR4+,1,WR2,3
Daniel Sobkowicz,HOU,WR4+,1,WR2,4
Jaylin Noel,HOU,WR3,1,WR3,1
Lewis Bond,HOU,WR4+,1,WR3,2
Jared Wayne,HOU,WR4+,1,WR3,3
Jha'Quan Jackson,HOU,WR4+,1,WR3,4
Dalton Schultz,HOU,TE1,1,TE,1
Foster Moreau,HOU,TE2,1,TE,2
Brevin Jordan,HOU,TE3,0,TE,3
Marlin Klein,HOU,TE4,0,TE,4
Daniel Jones,IND,QB1,0,QB,1
Anthony Richardson Sr.,IND,QB2,1,QB,2
Riley Leonard,IND,QB3,1,QB,3
