season,defense,QB PY avg,P TD avg,QB RY avg,RB1 RY avg,RB2+ RY avg,WR RY avg,RB1 Recep avg,RB1 RecY avg,RB2 Recep avg,RB2 RecY avg,WR1 Recep avg,WR1 RecY avg,WR2 Recep avg,WR2 RecY avg,WR3 Recep avg,WR3 RecY avg,WR4+ Recep avg,WR4+ RecY avg,TE1 Recep avg,TE1 RecY avg,TE2 Recep avg,TE2 RecY avg,QB TD avg,RB1 TD avg,RB2 TD avg,WR1 TD avg,WR2 TD avg,WR3 TD avg,WR4+ TD avg,TE1 TD avg,TE2 TD avg,D/ST TD avg,QB P+R avg,RB R+R avg,QB PY rank,P TD rank,QB RY rank,RB1 RY rank,RB2+ RY rank,WR RY rank,RB1 Recep rank,RB1 RecY rank,RB2 Recep rank,RB2 RecY rank,WR1 Recep rank,WR1 RecY rank,WR2 Recep rank,WR2 RecY rank,WR3 Recep rank,WR3 RecY rank,WR4+ Recep rank,WR4+ RecY rank,TE1 Recep rank,TE1 RecY rank,TE2 Recep rank,TE2 RecY rank,QB TD rank,RB1 TD rank,RB2 TD rank,WR1 TD rank,WR2 TD rank,WR3 TD rank,WR4+ TD rank,TE1 TD rank,TE2 TD rank,D/ST TD rank,QB P+R rank,RB R+R rank,QB *,RB1 *,RB2 *,WR1 *,WR2 *,WR3 *,WR4+ *,TE1 *,TE2 *,D/ST *
2026,ARI,209.0,1.0,29.0,43.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,82.0,3.0,20.0,2.0,17.0,0.0,0.0,5.0,58.0,2.0,32.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,52.0,16.0,22.5,11.5,25.0,26.0,20.0,30.0,27.0,28.5,25.5,17.0,10.0,18.0,26.0,13.0,20.0,23.0,23.0,6.0,8.0,11.5,4.0,20.0,14.0,19.0,8.0,20.0,19.0,17.5,22.5,17.5,18.0,16.0,32.0,17.2,25.6,26.2,11.67,21.33,17.33,21.17,12.17,11.0,18.0
2026,ATL,221.0,1.0,-3.0,46.0,15.0,0.0,5.0,27.0,2.0,6.0,4.0,40.0,3.0,26.0,3.0,58.0,0.0,0.0,5.0,46.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,218.0,94.0,12.0,22.5,31.0,22.5,21.5,20.0,7.5,10.0,8.5,15.0,24.0,27.0,18.0,23.5,4.0,1.0,23.0,23.0,6.0,11.0,11.5,10.5,20.0,25.5,19.0,22.5,20.0,19.0,17.5,7.5,17.5,2.0,20.0,24.0,21.1,17.9,17.6,24.5,20.5,8.0,21.17,8.17,13.17,2.0
2026,BAL,166.0,1.0,4.0,98.0,0.0,0.0,3.0,23.0,1.0,0.0,4.0,61.0,6.0,32.0,2.0,37.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,170.0,121.0,26.0,22.5,25.0,7.0,31.0,20.0,14.5,12.0,18.5,25.5,24.0,18.0,3.0,19.5,13.0,8.0,23.0,23.0,19.0,28.5,28.0,28.0,20.0,6.5,19.0,22.5,20.0,19.0,17.5,7.5,17.5,18.0,27.0,14.0,24.1,10.8,21.6,21.5,14.17,13.33,21.17,18.33,24.5,18.0
2026,BUF,274.0,2.0,15.0,60.0,42.0,7.0,3.0,19.0,1.0,-2.0,7.0,75.0,3.0,32.0,2.0,53.0,2.0,33.0,4.0,35.0,4.0,29.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,119.0,7.0,12.5,17.0,15.0,6.0,4.0,14.5,16.5,18.5,31.5,8.0,12.5,18.0,19.5,13.0,2.5,3.0,1.0,12.0,14.5,1.5,5.0,20.0,2.0,19.0,8.0,20.0,19.0,17.5,22.5,17.5,18.0,8.0,16.0,12.9,12.8,18.2,9.5,19.17,11.5,7.17,16.33,8.0,18.0
2026,CAR,269.0,2.0,65.0,124.0,100.0,2.0,1.0,10.0,2.0,24.0,8.0,84.0,5.0,63.0,2.0,52.0,1.0,1.0,2.0,35.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,334.0,258.0,8.0,12.5,1.0,4.0,1.0,9.0,24.5,22.0,8.5,5.0,5.0,8.0,6.5,7.0,13.0,4.0,9.0,12.5,27.0,14.5,28.0,28.0,1.5,2.0,3.0,22.5,20.0,19.0,1.5,7.5,17.5,18.0,6.0,2.0,5.8,10.9,3.9,11.83,11.17,12.0,7.67,16.33,24.5,18.0
2026,CHI,361.0,3.0,34.0,49.0,42.0,0.0,3.0,38.0,1.0,48.0,8.0,138.0,5.0,75.0,0.0,0.0,0.0,0.0,3.0,25.0,3.0,37.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,177.0,3.0,5.0,8.0,21.0,6.0,20.0,14.5,5.0,18.5,1.0,5.0,3.0,6.5,3.0,30.5,29.5,23.0,23.0,19.0,21.0,4.5,3.0,5.0,6.5,19.0,2.0,20.0,19.0,17.5,22.5,17.5,18.0,2.0,7.0,4.6,10.8,10.3,3.33,9.83,26.33,21.17,20.83,8.33,18.0
2026,CIN,216.0,0.0,30.0,45.0,15.0,-1.0,7.0,48.0,1.0,3.0,5.0,63.0,4.0,40.0,3.0,36.0,0.0,0.0,3.0,26.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,246.0,111.0,14.0,30.5,10.0,24.0,21.5,31.0,2.5,2.0,18.5,19.0,17.0,17.0,11.5,15.5,4.0,9.0,23.0,23.0,19.0,19.5,28.0,28.0,5.0,14.0,19.0,22.5,20.0,19.0,17.5,22.5,17.5,2.0,13.0,18.0,14.5,12.1,19.2,18.83,15.67,10.67,21.17,20.33,24.5,2.0
2026,CLE,245.0,4.0,0.0,66.0,55.0,5.0,1.0,22.0,1.0,0.0,5.0,83.0,3.0,40.0,2.0,40.0,3.0,28.0,2.0,23.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,245.0,143.0,10.0,1.0,29.0,12.0,4.0,6.5,24.5,13.5,18.5,25.5,17.0,9.0,18.0,15.5,13.0,7.0,1.0,2.0,27.0,22.0,20.0,17.5,20.0,25.5,19.0,8.0,20.0,3.0,1.5,7.5,17.5,18.0,14.0,10.5,14.8,17.2,15.5,11.33,17.83,7.67,1.5,18.83,18.33,18.0
2026,DAL,230.0,3.0,54.0,81.0,30.0,0.0,0.0,0.0,4.0,22.0,6.0,69.0,2.0,25.0,2.0,27.0,0.0,0.0,8.0,78.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,284.0,133.0,11.0,5.0,2.0,10.0,15.0,20.0,30.0,27.0,1.5,7.0,10.5,15.0,25.5,25.0,13.0,13.0,23.0,23.0,2.0,3.5,20.0,17.5,20.0,14.0,3.0,22.5,20.0,19.0,17.5,1.5,17.5,18.0,9.0,12.0,9.4,18.6,7.7,16.0,23.5,15.0,21.17,2.33,18.33,18.0
2026,DEN,184.0,2.0,23.0,173.0,24.0,0.0,3.0,18.0,2.0,44.0,3.0,18.0,2.0,19.0,0.0,0.0,0.0,0.0,3.0,71.0,2.0,14.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,207.0,259.0,22.0,12.5,13.5,1.0,17.0,20.0,14.5,18.0,8.5,2.0,29.0,32.0,25.5,27.5,30.5,29.5,23.0,23.0,19.0,6.0,11.5,13.5,5.0,6.5,19.0,22.5,4.5,19.0,17.5,22.5,17.5,18.0,23.0,1.0,15.2,8.2,9.5,27.83,19.17,26.33,21.17,15.83,14.17,18.0
