season,week,team,opponent,dst_tds
2025,1,CHI,MIN,1
2025,2,BAL,CLE,1
2025,2,MIA,NE,1
2025,2,NE,MIA,1
2025,2,ARI,CAR,1
2025,3,CAR,ATL,1
2025,3,MIN,CIN,2
2025,3,IND,TEN,1
2025,3,TB,NYJ,1
2025,3,WAS,LV,1
2025,3,SEA,NO,1
2025,4,NE,CAR,1
2025,4,DET,CLE,1
2025,4,PHI,TB,1
2025,4,JAX,SF,1
2025,4,DAL,GB,1
2025,5,NO,NYG,1
2025,5,JAX,KC,1
2025,7,PHI,MIN,1
2025,7,CLE,MIA,1
2025,7,NE,TEN,1
2025,7,DAL,WAS,1
2025,8,TB,NO,1
2025,9,CIN,CHI,1
2025,9,TEN,LAC,2
2025,9,DAL,ARI,1
2025,10,NYJ,CLE,2
2025,10,JAX,HOU,1
2025,10,HOU,JAX,1
2025,10,SEA,ARI,2
2025,11,PIT,CIN,2
2025,11,CLE,BAL,1
2025,12,BUF,HOU,1
2025,12,CIN,NE,1
2025,12,NE,CIN,1
2025,12,TEN,SEA,1
2025,12,ARI,JAX,1
2025,12,NO,ATL,1
2025,12,LAR,TB,1
2025,13,MIA,NO,1
2025,13,CAR,LAR,1
2025,13,SEA,MIN,1
2025,13,BUF,PIT,1
2025,13,NE,NYG,1
2025,14,SEA,ATL,1
2025,14,BUF,CIN,1
2025,14,NYJ,MIA,1
2025,14,DEN,LV,1
2025,15,BAL,CIN,1
2025,15,HOU,ARI,1
2025,15,WAS,NYG,1
2025,16,SEA,LAR,1
2025,16,NYG,MIN,1
2025,16,HOU,LV,1
2025,16,SF,IND,1
2025,17,NO,TEN,1
2025,17,NYG,LV,1
2025,17,CHI,SF,1
2025,17,ATL,LAR,1
2025,18,CLE,CIN,2
2025,18,HOU,IND,1
2025,18,JAX,TEN,1
2025,18,DEN,LAC,1
