player,mk_name,team,pos,slot,slot_group,injury,owner,week,opponent,composite,stat_ranks
Jaxson Dart,J. Dart,NYG,QB,QB2,QB,-1,,3,TEN,12.9,QB PY=25;QB RY=5;QB P+R=20;P TD=6;QB TD=8.5
Dawson Knox,D. Knox,BUF,TE,TE2,TE2,1,,3,LAC,23.67,TE2 Recep=14;TE2 RecY=25;TE2 TD=32
C. Akers,C. Akers,NO,RB,,,,,3,LV,,
Terrance Ferguson,T. Ferguson,LAR,TE,TE2,TE2,1,,3,@DEN,20.17,TE2 Recep=17;TE2 RecY=17;TE2 TD=26.5
K. Pickett,K. Pickett,CLE,QB,,,,,3,CAR,,
Blake Corum,B. Corum,LAR,RB,RB2,RB2,1,,3,@DEN,24.5,RB2+ RY=30;RB2 Recep=21;RB2 RecY=24.5;RB R+R=31;RB2 TD=16
E. Demercado,E. Demercado,ARI,RB,,,,,3,@SF,,
Kyle Monangai,K. Monangai,CHI,RB,RB2,RB2,1,,3,PHI,17.1,RB2+ RY=16;RB2 Recep=6;RB2 RecY=12;RB R+R=23;RB2 TD=28.5
Josh Oliver,J. Oliver,MIN,TE,TE2,TE2,1,,3,@TB,15.67,TE2 Recep=15.5;TE2 RecY=11;TE2 TD=20.5
J. Browning,J. Browning,CIN,QB,,,,,3,@PIT,,
DJ Giddens,D.J. Giddens,IND,RB,RB3,RB2,0,,3,HOU,24.2,RB2+ RY=32;RB2 Recep=17.5;RB2 RecY=17;RB R+R=29;RB2 TD=25.5
T. Chandler,T. Chandler,MIN,RB,,,,,3,@TB,,
E. Wilson,E. Wilson,GB,RB,,,,,3,ATL,,
Tahj Brooks,T. Brooks,CIN,RB,RB3,RB2,1,,3,@PIT,25.6,RB2+ RY=27;RB2 Recep=22.5;RB2 RecY=28;RB R+R=22;RB2 TD=28.5
Isaiah Davis,I. Davis,NYJ,RB,RB3,RB2,1,,3,@DET,24.4,RB2+ RY=28;RB2 Recep=30;RB2 RecY=18;RB R+R=30;RB2 TD=16
Trevor Etienne,T. Etienne,CAR,RB,RB3,RB2,-1,,3,@CLE,23.9,RB2+ RY=19;RB2 Recep=22.5;RB2 RecY=21;RB R+R=25;RB2 TD=32
J. Hunter,J. Hunter,LAR,RB,,,,,3,@DEN,,
Jordan James,J. James,SF,RB,RB3,RB2,1,,3,ARI,12.9,RB2+ RY=1;RB2 Recep=29;RB2 RecY=27;RB R+R=3;RB2 TD=4.5
K. Mitchell,K. Mitchell,BAL,RB,,,,,3,@DAL,,
Brashard Smith,B. Smith,KC,RB,RB3,RB2,1,,3,@MIA,10.4,RB2+ RY=6;RB2 Recep=11;RB2 RecY=10;RB R+R=12;RB2 TD=13
Sean Tucker,S. Tucker,TB,RB,RB3,RB2,1,,3,MIN,24.6,RB2+ RY=23;RB2 Recep=28;RB2 RecY=30;RB R+R=26;RB2 TD=16
L. Musgrave,L. Musgrave,GB,TE,,,,,3,ATL,,
K. Juszcyzk,K. Juszcyzk,SF,RB,,,,,3,ARI,,
Will Shipley,W. Shipley,PHI,RB,RB3,RB2,1,,3,@CHI,9.8,RB2+ RY=3;RB2 Recep=14;RB2 RecY=11;RB R+R=5;RB2 TD=16
Kendre Miller,K. Miller,NO,RB,RB3,RB2,1,,3,LV,10.9,RB2+ RY=8;RB2 Recep=8;RB2 RecY=13.5;RB R+R=15;RB2 TD=10
E. Mitchell,E. Mitchell,KC,RB,,,,,3,@MIA,,
Elijah Higgins,E. Higgins,ARI,TE,TE2,TE2,1,,3,@SF,18.67,TE2 Recep=24;TE2 RecY=24;TE2 TD=8
B. Sinnot,B. Sinnot,WAS,TE,,,,,3,SEA,,
D. Ogunbowale,D. Ogunbowale,HOU,RB,,,,,3,@IND,,
D. Martinez,D. Martinez,SEA,RB,,,,,3,@WAS,,
T. Goodson,T. Goodson,IND,RB,,,,,3,HOU,,
MarShawn Lloyd,M. Lloyd,GB,RB,RB1,RB1,1,,3,ATL,13.5,RB1 RY=16;RB1 Recep=3;RB1 RecY=9;RB R+R=16;RB1 TD=23.5
N. Mullens,N. Mullens,JAX,QB,,,,,3,NE,,
K. Mullings,K. Mullings,TEN,RB,,,,,3,@NYG,,
M. Willis,M. Willis,GB,QB,,,,,3,ATL,,
Dillon Gabriel,D. Gabriel,CLE,QB,QB4,QB,-1,,3,CAR,13.8,QB PY=17;QB RY=17;QB P+R=16;P TD=7.5;QB TD=11.5
J. Milton III,J. Milton III,DAL,QB,,,,,3,BAL,,
Trey Lance,T. Lance,LAC,QB,QB2,QB,1,,3,@BUF,24.7,QB PY=31;QB RY=18;QB P+R=31;P TD=24;QB TD=19.5
