defense,season,week,opponent,QB PY,P TD,QB RY,RB1 RY,RB2+ RY,WR RY,RB1 Recep,RB1 RecY,RB2 Recep,RB2 RecY,WR1 Recep,WR1 RecY,WR2 Recep,WR2 RecY,WR3 Recep,WR3 RecY,WR4+ Recep,WR4+ RecY,TE1 Recep,TE1 RecY,TE2 Recep,TE2 RecY,QB TD,RB1 TD,RB2 TD,WR1 TD,WR2 TD,WR3 TD,WR4+ TD,TE1 TD,TE2 TD,D/ST TD,QB P+R,RB R+R
DEN,2024,5,LV,231,1,22,38,42,13,2,23,3,9,6,72,2,18,1,12,0,0,8,97,0,0,0,0,1,0,0,0,0,1,0,0,253,112
DEN,2024,6,LAC,237,1,2,96,16,14,2,6,2,40,4,43,3,22,2,38,3,52,4,26,1,10,0,1,1,0,0,0,0,0,0,0,239,158
DEN,2024,7,NO,210,1,34,10,53,0,6,14,2,1,6,45,3,37,6,57,0,0,3,18,2,38,0,0,0,0,0,1,0,0,0,0,244,78
DEN,2024,8,CAR,224,2,6,56,7,0,2,15,7,38,4,34,0,0,4,78,4,39,1,7,2,13,0,0,0,1,0,1,0,0,0,0,230,116
DEN,2024,9,BAL,280,3,6,106,15,0,1,27,4,46,5,127,3,25,1,29,0,0,0,0,2,26,0,2,1,2,0,0,0,0,0,0,286,194
DEN,2024,10,KC,266,1,19,35,3,0,7,65,2,37,1,11,4,56,2,6,1,3,8,64,3,24,0,0,0,0,0,0,0,1,0,0,285,140
DEN,2024,11,ATL,197,0,0,35,15,0,4,28,1,-1,3,61,2,27,6,46,2,22,1,9,1,5,0,0,0,0,0,0,0,0,0,0,197,77
DEN,2024,12,LV,294,1,8,28,33,0,5,37,0,0,10,121,7,82,2,5,1,34,4,38,2,11,0,1,0,0,0,0,0,0,0,0,302,98
DEN,2024,13,CLE,497,4,11,41,21,4,1,21,2,24,9,235,8,111,3,43,2,11,9,52,0,0,0,0,1,1,0,0,0,2,0,0,508,107
DEN,2024,15,IND,172,0,46,107,6,-10,1,4,2,9,6,58,3,32,0,0,1,23,3,47,0,0,1,0,0,0,0,0,0,0,0,0,218,126
DEN,2024,16,LAC,284,2,28,68,24,-3,1,3,2,39,6,87,3,18,3,41,3,41,3,37,2,18,0,2,1,0,0,0,1,0,0,0,312,134
DEN,2024,17,CIN,412,3,25,67,23,0,4,24,0,0,9,102,11,131,3,59,0,0,10,86,2,10,1,0,0,0,3,0,0,0,0,0,437,114
DEN,2024,18,KC,98,0,5,25,1,0,2,2,1,13,1,5,1,4,2,48,0,0,1,1,2,25,0,0,0,0,0,0,0,0,0,0,103,41
DET,2024,1,LAR,317,1,0,50,16,17,3,4,0,0,14,110,5,79,4,42,4,35,4,47,0,0,0,1,0,1,0,0,0,0,0,0,317,70
DET,2024,2,TB,185,1,34,18,22,0,1,5,0,0,7,117,3,42,1,21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,219,45
DET,2024,3,ARI,207,1,45,17,15,0,1,8,0,0,5,64,3,35,8,64,0,0,3,25,1,11,0,0,0,1,0,0,0,0,0,0,252,40
DET,2024,4,SEA,395,1,38,15,80,0,5,39,4,36,7,104,8,51,5,61,4,48,2,26,3,30,0,0,3,0,0,0,0,0,1,0,433,170
DET,2024,6,DAL,224,0,3,25,17,8,5,30,0,0,7,89,4,43,4,24,2,27,3,11,0,0,0,0,0,0,0,0,0,0,0,0,227,72
DET,2024,7,MIN,259,1,39,93,4,3,3,23,0,0,7,81,3,66,4,76,0,0,4,8,1,5,0,1,0,1,0,0,0,0,0,1,298,120
DET,2024,8,TEN,266,1,29,94,32,3,3,23,0,0,10,143,3,14,2,39,0,0,2,14,2,33,1,0,0,0,0,1,0,0,0,0,295,149
DET,2024,9,GB,273,0,0,95,41,0,2,13,4,29,5,113,4,28,0,0,4,56,4,34,0,0,0,0,1,0,0,0,0,0,0,0,273,178
DET,2024,10,HOU,232,1,5,46,11,-6,2,44,0,0,5,39,2,6,5,74,1,1,3,66,1,2,0,1,0,0,0,1,0,0,0,0,237,101
DET,2024,11,JAX,138,0,7,27,3,4,3,6,0,0,5,82,1,3,1,10,0,0,5,28,2,9,0,0,0,0,0,0,0,0,0,0,145,36
DET,2024,12,IND,172,0,61,35,0,0,0,0,0,0,3,27,6,96,1,39,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,35
DET,2024,13,CHI,256,3,39,39,0,0,2,35,0,0,8,97,5,73,2,25,0,0,3,26,0,0,0,0,0,1,2,0,0,0,0,0,295,74
DET,2024,14,GB,206,1,23,66,10,0,0,0,0,0,0,0,4,49,4,114,0,0,3,41,1,2,0,3,0,0,0,0,0,1,0,0,229,76
DET,2024,15,BUF,362,2,68,105,24,0,1,28,7,128,6,39,1,7,1,64,1,1,4,53,2,42,2,2,1,1,0,0,0,0,0,0,430,285
DET,2024,16,CHI,334,2,34,20,3,2,3,33,0,0,7,68,9,141,4,77,0,0,2,9,1,6,0,0,0,0,1,0,0,1,0,0,368,56
DET,2024,17,SF,412,3,19,34,0,22,4,65,1,9,7,67,1,5,8,141,1,13,8,112,0,0,2,0,1,0,1,1,0,0,0,0,431,108
DET,2024,18,MIN,166,0,10,45,65,0,5,30,2,4,3,54,1,0,3,53,0,0,2,9,2,16,0,0,0,0,0,0,0,0,0,0,176,144
GB,2024,1,PHI,278,2,33,109,2,0,2,23,1,10,5,119,7,84,0,0,0,0,4,31,1,11,0,3,0,1,0,0,0,0,0,0,311,144
GB,2024,2,IND,204,1,37,103,0,0,2,32,2,9,3,21,5,56,1,30,1,13,1,9,2,34,0,0,0,0,1,0,0,0,0,0,241,144
GB,2024,3,TEN,260,2,12,14,7,0,3,15,4,54,1,9,3,33,6,73,1,9,4,43,4,24,0,0,0,0,0,1,0,0,1,0,272,90
GB,2024,4,MIN,275,3,15,93,5,7,4,46,1,8,6,85,1,31,3,72,1,8,2,15,2,10,0,0,0,1,0,2,0,0,1,0,290,152
GB,2024,5,LAR,260,1,0,102,25,7,1,3,1,8,6,58,7,89,3,28,2,6,7,52,2,16,0,1,0,0,0,1,0,0,0,1,260,138
GB,2024,6,ARI,214,1,14,24,51,0,4,22,5,39,0,0,2,21,3,36,0,0,8,96,0,0,0,0,0,0,1,0,0,0,0,0,228,136
GB,2024,7,HOU,86,0,19,115,8,0,2,9,0,0,5,23,0,0,1,11,0,0,1,28,1,15,0,2,0,0,0,0,0,0,0,0,105,132
GB,2024,8,JAX,308,2,10,78,3,0,2,8,1,20,3,60,2,59,3,46,1,20,5,59,4,36,1,0,0,1,0,0,0,0,1,0,318,109
GB,2024,9,DET,145,1,-2,73,65,-12,3,23,1,11,7,56,1,12,2,12,1,2,2,28,1,1,0,0,1,1,0,0,0,0,0,1,143,172
GB,2024,11,CHI,231,0,70,71,33,5,2,13,1,8,7,62,6,65,4,41,0,0,3,42,0,0,0,1,1,0,0,0,0,0,0,0,301,125
GB,2024,12,SF,199,1,5,8,31,0,1,5,4,51,5,40,1,21,0,0,0,0,6,82,0,0,0,0,0,0,0,0,0,1,0,0,204,95
GB,2024,13,MIA,365,2,6,14,19,0,8,56,4,30,6,83,4,53,1,9,2,8,10,113,2,13,0,1,0,1,0,0,0,0,0,0,371,119
GB,2024,14,DET,283,3,7,43,51,10,6,30,5,33,5,43,5,80,6,43,0,0,5,54,0,0,0,1,1,0,0,2,0,0,0,0,290,157
GB,2024,15,SEA,173,0,7,54,19,0,1,12,0,0,10,83,3,28,1,22,1,8,3,15,1,5,0,1,0,0,0,0,0,0,0,0,180,85
GB,2024,16,NO,153,0,28,8,31,0,0,0,7,32,0,0,1,17,2,31,1,13,2,27,2,33,0,0,0,0,0,0,0,0,0,0,181,71
GB,2024,17,MIN,377,3,-3,47,25,0,4,30,2,15,8,92,6,69,5,81,2,15,5,68,1,7,0,0,1,0,1,1,0,0,0,0,374,117
GB,2024,18,CHI,148,1,10,65,3,5,0,0,5,16,9,86,3,25,2,18,0,0,2,3,0,0,0,1,0,1,0,0,0,0,0,1,158,84
HOU,2024,1,IND,212,2,56,48,0,0,0,0,0,0,4,31,1,2,3,125,1,54,0,0,0,0,1,1,0,0,0,1,1,0,0,0,268,48
HOU,2024,2,CHI,174,0,44,18,9,0,4,24,2,4,6,53,2,33,3,32,0,0,4,27,2,1,0,0,1,0,0,0,0,0,0,0,218,55
HOU,2024,3,MIN,181,4,0,102,13,3,5,46,0,0,6,81,3,31,1,13,1,8,1,2,0,0,0,1,0,1,1,0,0,1,0,0,181,161
HOU,2024,4,JAX,169,2,5,50,90,13,1,10,0,0,7,61,6,86,1,-2,0,0,3,19,0,0,0,0,0,1,1,0,0,0,0,0,174,150
HOU,2024,5,BUF,131,1,54,82,15,-1,2,17,1,4,2,27,1,49,1,0,0,0,2,34,0,0,0,1,0,0,1,0,0,0,0,0,185,118
HOU,2024,6,NE,243,3,38,19,25,0,3,24,1,9,6,92,1,4,3,59,2,9,3,41,1,5,0,0,0,1,0,1,0,1,0,0,281,77
HOU,2024,7,GB,220,3,0,76,11,-5,5,16,0,0,3,48,2,10,8,94,2,17,3,33,1,2,0,1,0,1,0,0,0,1,0,0,220,103
HOU,2024,8,IND,175,1,45,105,0,13,1,12,1,14,1,16,4,109,1,9,1,11,0,0,1,4,0,1,0,0,1,0,0,0,0,0,220,131
HOU,2024,9,NYJ,211,3,-1,74,9,18,2,11,0,0,9,90,7,91,1,6,0,0,1,-3,2,16,0,0,0,2,1,0,0,0,0,0,210,94
HOU,2024,10,DET,240,2,2,71,32,0,2,37,1,24,6,60,3,53,0,0,0,0,3,66,0,0,0,0,1,1,0,0,0,1,0,0,242,164
HOU,2024,11,DAL,354,1,2,28,21,13,2,6,4,20,8,93,2,21,3,86,3,23,1,11,10,98,0,0,0,0,0,1,0,0,0,0,356,75
HOU,2024,12,TEN,278,2,10,119,3,0,3,10,1,2,5,93,6,55,2,48,0,0,1,70,0,0,0,1,0,0,0,1,0,1,0,0,288,134
HOU,2024,13,JAX,276,2,12,46,28,11,3,12,1,7,4,76,6,103,2,23,0,0,7,41,1,14,0,0,0,1,1,0,0,0,0,0,288,93
HOU,2024,15,MIA,196,1,0,41,11,0,7,35,3,13,2,36,0,0,5,52,2,4,9,48,1,8,0,0,0,0,0,0,0,1,0,0,196,100
HOU,2024,16,KC,260,1,33,55,26,10,2,24,4,49,7,65,4,37,0,0,5,45,5,30,1,10,1,1,0,1,0,0,0,0,0,0,293,154
HOU,2024,17,BAL,184,2,87,147,17,0,2,18,1,28,2,31,1,12,1,2,1,16,2,68,1,9,1,1,0,0,0,0,0,1,1,0,271,210
HOU,2024,18,TEN,245,1,13,62,13,-3,0,0,0,0,3,76,4,50,1,15,1,49,5,29,2,26,0,0,0,0,0,0,1,0,0,0,258,75
IND,2024,1,HOU,234,2,13,159,16,25,3,19,1,3,6,117,3,40,6,33,1,3,3,16,1,3,0,1,0,0,0,2,0,0,0,0,247,197
IND,2024,2,GB,122,1,41,151,24,45,0,0,1,3,3,62,2,9,3,26,0,0,2,16,1,6,0,0,0,0,0,1,0,0,0,0,163,178
IND,2024,3,CHI,363,2,8,20,39,-4,2,22,4,32,8,78,6,112,3,22,0,0,10,97,0,0,0,0,0,0,1,0,0,1,0,0,371,113
IND,2024,4,PIT,312,1,55,19,48,0,3,54,2,19,7,113,1,17,2,21,0,0,5,57,2,31,2,0,0,0,0,0,0,1,0,0,367,140
IND,2024,5,JAX,371,2,4,17,102,3,6,43,3,37,5,122,4,88,3,38,0,0,4,24,3,19,0,0,2,1,0,0,0,1,0,0,375,199
IND,2024,6,TEN,95,1,15,93,29,9,3,-5,0,0,0,0,4,54,3,19,2,19,3,6,1,2,0,1,0,0,0,0,1,0,0,0,110,117
IND,2024,7,MIA,161,1,24,77,82,5,2,8,1,25,1,8,1,11,2,9,0,0,7,96,1,4,0,0,0,0,0,0,0,1,0,0,185,192
IND,2024,8,HOU,285,1,-10,102,8,-4,4,32,0,0,5,81,4,35,1,19,5,47,4,52,2,19,0,1,0,0,1,0,0,0,0,0,275,142
IND,2024,9,MIN,290,3,14,64,46,9,4,18,2,7,7,137,5,42,1,7,2,16,0,0,8,85,0,0,0,0,1,1,0,0,1,0,304,135
IND,2024,10,BUF,280,0,49,80,6,0,1,5,3,32,6,58,4,86,4,35,0,0,2,24,2,40,1,1,0,0,0,0,0,0,0,1,329,123
IND,2024,11,NYJ,184,2,7,78,6,0,7,43,0,0,4,18,6,72,1,17,1,10,1,7,2,17,0,2,0,0,0,0,0,0,1,0,191,127
IND,2024,12,DET,269,0,0,90,43,4,3,9,3,36,6,62,5,64,4,55,0,0,3,19,2,24,0,2,1,0,0,0,0,0,0,0,269,178
IND,2024,13,NE,238,1,59,73,62,6,3,21,0,0,4,20,3,41,0,0,3,39,7,75,4,42,0,0,1,0,0,0,0,0,1,0,297,156
IND,2024,15,DEN,130,3,23,15,34,0,2,8,4,18,3,32,2,9,0,0,4,20,2,8,3,35,0,0,0,1,0,0,0,0,2,1,153,75
IND,2024,16,TEN,252,2,3,35,27,0,2,5,3,39,3,78,2,20,2,17,1,6,9,81,1,6,0,0,2,1,0,1,0,0,0,0,255,106
IND,2024,17,NYG,309,4,0,59,21,0,2,14,1,9,7,171,5,71,1,32,0,0,1,12,0,0,1,0,0,2,1,1,0,0,0,1,309,103
IND,2024,18,JAX,225,1,17,31,65,0,3,29,2,3,7,103,2,15,1,11,0,0,4,60,1,4,0,0,1,0,1,0,0,0,0,0,242,128
JAX,2024,1,MIA,338,1,11,24,43,3,7,76,2,10,7,130,5,109,0,0,0,0,0,0,2,13,0,1,0,1,0,0,0,0,0,0,349,153
JAX,2024,2,CLE,186,0,24,64,37,0,1,0,2,19,3,11,5,73,6,44,4,29,1,10,0,0,1,0,0,0,0,0,0,0,0,0,210,120
JAX,2024,3,BUF,266,4,43,39,40,0,4,48,4,29,6,72,1,24,3,22,2,23,3,41,1,7,0,1,2,1,1,0,0,1,0,0,309,156
JAX,2024,4,HOU,345,2,17,53,25,6,0,0,4,47,12,151,5,69,1,10,1,7,3,34,1,27,0,0,1,1,1,0,0,0,0,0,362,125
JAX,2024,5,IND,359,3,22,38,26,13,6,25,3,31,5,37,9,69,4,38,3,134,2,37,2,12,0,1,0,1,0,0,1,1,0,0,381,120
JAX,2024,6,CHI,226,4,53,91,8,0,4,28,2,25,4,20,2,40,5,41,0,0,5,70,1,2,0,1,0,0,0,2,0,2,0,0,279,152
JAX,2024,7,NE,276,2,18,18,2,0,2,7,6,58,2,14,0,0,2,26,2,47,8,92,4,32,0,0,1,0,0,1,0,0,0,0,294,85
JAX,2024,8,GB,252,1,22,127,21,0,1,-2,3,-1,2,55,3,72,2,11,4,39,3,78,0,0,0,2,0,0,0,0,0,1,0,0,274,145
JAX,2024,9,PHI,230,2,67,159,9,2,3,40,1,1,4,87,2,36,1,36,2,0,5,30,0,0,1,2,0,1,0,0,0,0,0,0,297,209
JAX,2024,10,MIN,241,0,28,88,56,-3,2,13,1,9,5,48,2,25,1,11,1,11,4,52,8,72,0,0,0,0,0,0,0,0,0,0,269,166
JAX,2024,11,DET,449,4,24,69,105,-2,1,54,3,20,11,161,4,124,2,30,4,33,1,5,1,22,0,1,2,2,1,0,0,1,0,0,473,248
JAX,2024,13,HOU,242,1,7,101,0,0,4,18,1,1,8,119,1,23,2,16,0,0,5,61,1,4,0,1,0,0,0,0,0,1,0,0,249,120
JAX,2024,14,TEN,168,0,3,102,21,0,2,22,1,2,7,59,1,7,1,19,1,16,3,8,3,35,0,0,0,0,0,0,0,0,0,0,171,147
JAX,2024,15,NYJ,289,3,45,30,50,0,2,21,1,2,3,56,9,198,0,0,0,0,1,12,0,0,0,1,0,1,2,0,0,0,0,0,334,103
JAX,2024,16,LV,257,0,12,27,38,-8,4,29,5,47,2,41,2,41,0,0,0,0,11,99,0,0,0,1,1,0,0,0,0,0,0,0,269,141
JAX,2024,17,TEN,193,1,23,95,17,7,3,8,0,0,5,84,2,14,3,37,0,0,5,42,1,8,0,0,0,0,0,0,0,0,1,0,216,120
JAX,2024,18,IND,264,1,0,177,0,0,1,3,2,10,6,72,10,94,2,57,0,0,1,7,1,21,0,1,0,0,0,1,0,0,0,0,264,190
KC,2024,1,BAL,273,1,122,46,3,14,0,0,6,52,6,37,2,53,1,6,0,0,9,111,2,14,0,1,0,0,0,0,0,1,0,0,395,101
KC,2024,2,CIN,258,2,9,34,31,0,1,13,0,0,4,35,2,7,1,5,1,47,7,91,7,60,0,0,0,0,2,0,0,0,0,0,267,78
KC,2024,3,ATL,230,1,-1,31,32,20,2,21,0,0,6,67,8,66,2,17,0,0,2,59,0,0,0,1,0,1,0,0,0,0,0,0,229,84
KC,2024,4,LAC,179,1,0,32,19,4,3,30,0,0,5,67,1,9,3,36,1,7,2,24,1,6,0,0,0,1,0,0,0,0,0,0,179,81
KC,2024,5,NO,182,2,11,26,9,0,6,40,0,0,4,86,2,10,1,2,0,0,5,31,2,13,0,0,0,1,0,0,0,0,1,0,193,75
KC,2024,7,SF,212,0,27,58,16,0,2,11,1,5,2,23,3,21,1,10,2,50,6,92,0,0,2,0,0,0,0,0,0,0,0,0,239,90
KC,2024,8,LV,209,2,6,15,1,11,5,29,1,9,6,52,2,26,4,28,0,0,5,58,1,7,0,0,0,1,0,1,0,0,0,0,215,54
KC,2024,9,TB,200,2,20,24,30,21,3,10,4,22,4,48,2,33,1,1,1,9,8,77,0,0,0,0,1,0,0,1,0,1,0,0,220,86
KC,2024,10,DEN,215,2,-5,1,65,17,2,6,0,0,6,70,2,23,1,9,8,52,2,21,1,34,0,0,0,1,0,0,1,0,0,0,210,72
KC,2024,11,BUF,262,1,55,20,29,0,5,7,0,0,8,70,2,55,5,58,2,27,4,40,1,5,1,2,0,0,0,1,0,0,0,0,317,56
KC,2024,12,CAR,263,1,20,58,7,0,1,2,0,0,4,56,6,81,3,57,3,13,3,49,1,5,0,1,0,0,1,0,0,0,0,0,283,67
KC,2024,13,LV,340,2,0,39,64,11,2,14,2,1,6,97,1,58,1,25,0,0,10,140,1,5,0,0,0,0,1,0,0,1,0,0,340,118
KC,2024,14,LAC,213,1,24,36,34,0,0,0,0,0,5,48,6,78,1,4,3,10,2,19,4,54,0,1,0,1,0,0,0,0,0,0,237,70
KC,2024,15,CLE,164,0,14,84,41,0,2,20,0,0,11,108,2,-1,2,7,0,0,3,30,0,0,0,1,0,0,0,0,0,0,0,0,178,145
KC,2024,16,HOU,244,2,23,57,4,0,1,14,0,0,7,60,6,98,3,19,1,8,5,45,0,0,0,0,0,0,1,0,0,1,0,0,267,75
KC,2024,17,PIT,205,0,55,74,73,0,2,7,5,41,3,50,4,31,0,0,0,0,7,60,2,16,1,0,0,0,0,0,0,0,0,0,260,195
KC,2024,18,DEN,321,4,54,28,76,0,3,50,2,9,5,98,4,50,2,12,7,77,3,25,0,0,0,0,1,1,1,0,2,0,0,0,375,163
LAC,2024,1,LV,257,1,5,44,19,3,2,2,4,43,5,59,3,61,2,22,1,9,6,58,2,3,0,0,1,0,0,0,0,0,0,0,262,108
LAC,2024,2,CAR,84,0,6,64,20,0,4,12,3,5,3,15,2,20,1,1,0,0,3,23,2,8,0,0,0,0,0,0,0,0,0,0,90,101
LAC,2024,3,PIT,245,1,6,70,38,0,5,16,4,11,5,57,4,95,2,31,0,0,4,33,1,2,1,0,0,0,1,0,0,0,0,0,251,135
LAC,2024,4,KC,245,1,12,6,83,0,1,0,2,16,3,73,2,27,0,0,0,0,7,89,4,40,0,0,1,1,0,0,0,0,0,0,257,105
LAC,2024,6,DEN,216,2,61,23,21,5,3,13,2,17,4,53,1,8,2,31,4,78,2,11,1,5,0,0,0,1,0,1,0,0,0,0,277,74
LAC,2024,7,ARI,145,1,66,101,14,0,2,51,0,0,3,21,1,15,1,5,0,0,5,51,2,2,1,0,0,0,0,1,0,0,0,0,211,166
LAC,2024,8,NO,278,0,10,67,20,0,6,55,0,0,8,107,2,14,1,36,0,0,3,48,2,21,0,0,0,0,0,0,0,0,0,0,288,142
LAC,2024,9,CLE,235,1,27,5,47,0,1,2,1,-4,7,73,3,28,6,75,0,0,5,29,3,32,0,0,0,0,0,1,0,0,0,0,262,50
LAC,2024,10,TEN,175,2,41,44,47,0,4,19,3,4,5,84,3,31,2,23,0,0,1,14,0,0,0,0,0,2,0,0,0,0,0,0,216,114
LAC,2024,11,CIN,356,3,28,86,0,0,5,57,0,0,7,75,9,148,3,46,1,8,0,0,3,22,0,0,0,2,1,0,0,0,0,0,384,143
LAC,2024,12,BAL,177,2,15,140,55,0,0,0,2,7,5,62,0,0,2,43,1,15,5,44,1,6,1,0,1,0,0,1,0,1,0,0,192,202
LAC,2024,13,ATL,245,0,3,102,16,-5,6,33,1,6,9,86,3,20,4,95,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,248,157
LAC,2024,14,KC,210,1,17,16,58,5,1,13,3,22,5,41,4,32,2,31,0,0,5,45,4,26,0,0,0,0,1,0,0,0,0,0,227,109
LAC,2024,15,TB,288,4,25,117,81,0,2,-4,2,17,9,159,1,16,5,75,1,1,2,24,0,0,0,0,1,2,0,1,0,0,0,0,313,211
LAC,2024,16,DEN,263,2,25,24,58,3,7,29,4,32,5,50,2,25,2,21,3,62,3,21,3,23,0,0,2,0,0,1,0,0,0,0,288,143
LAC,2024,17,NE,115,1,32,1,63,0,0,0,0,0,4,46,4,28,2,22,0,0,0,0,3,19,0,0,0,1,0,0,0,0,0,0,147,64
LAC,2024,18,LV,225,2,13,20,6,0,4,11,1,-4,9,123,3,24,0,0,0,0,4,50,4,21,0,0,0,1,0,0,0,1,0,0,238,33
LAR,2024,1,DET,217,1,7,91,40,25,1,2,4,34,5,121,3,13,0,0,0,0,4,45,1,2,0,1,1,1,0,0,0,0,0,0,224,167
LAR,2024,2,ARI,266,3,53,122,56,0,1,2,1,7,4,130,2,11,2,31,0,0,6,67,1,18,0,1,0,2,0,0,0,0,1,0,319,187
LAR,2024,3,SF,292,3,41,77,19,0,2,11,1,5,11,175,5,48,1,12,0,0,2,41,0,0,0,0,0,3,0,0,0,0,0,0,333,112
LAR,2024,4,CHI,157,1,12,93,26,0,7,72,0,0,3,22,1,10,3,19,0,0,3,34,0,0,0,1,1,1,0,0,0,0,0,0,169,191
LAR,2024,5,GB,224,2,10,73,24,19,1,21,1,-9,2,20,4,78,2,14,1,12,4,88,0,0,0,1,0,0,0,0,0,2,0,0,234,109
LAR,2024,7,LV,206,0,2,92,13,15,3,31,1,14,3,36,2,13,0,0,0,0,10,93,2,19,0,0,0,0,0,0,0,0,0,0,208,150
LAR,2024,8,MIN,240,2,6,58,0,0,2,37,0,0,8,115,2,22,2,16,1,10,1,10,2,30,0,0,0,0,0,0,1,0,1,0,246,95
LAR,2024,9,SEA,363,3,16,83,8,0,3,24,2,25,7,180,3,63,0,0,2,44,4,27,0,0,0,0,0,2,1,0,0,0,0,0,379,140
LAR,2024,10,MIA,207,1,-1,37,3,28,5,15,2,34,3,16,3,57,2,17,1,17,3,45,1,6,0,0,0,1,0,0,1,0,0,0,206,89
LAR,2024,11,NE,282,2,27,73,25,0,4,16,1,2,4,59,4,33,5,70,1,4,6,63,4,35,0,0,0,0,0,1,1,0,0,0,309,116
LAR,2024,12,PHI,179,1,37,255,22,0,4,47,0,0,6,109,1,4,0,0,0,0,4,19,0,0,0,2,1,1,0,0,0,0,0,0,216,324
LAR,2024,13,NO,184,1,12,112,0,9,4,7,1,7,2,36,1,19,3,31,1,5,5,36,7,43,0,0,0,1,0,0,0,0,0,0,196,126
LAR,2024,14,BUF,342,3,82,20,0,1,2,9,2,55,5,106,6,95,4,57,2,15,1,5,0,0,3,0,1,1,0,1,0,0,0,0,424,84
LAR,2024,15,SF,142,0,3,57,0,3,4,18,0,0,2,31,3,16,1,16,0,0,4,61,0,0,0,0,0,0,0,0,0,0,0,0,145,75
LAR,2024,16,NYJ,256,1,6,52,17,0,5,38,1,5,6,54,7,68,2,20,0,0,5,59,2,12,0,0,0,0,1,0,0,0,0,0,262,112
LAR,2024,17,ARI,321,1,32,4,70,7,2,4,3,16,6,96,4,22,3,18,1,19,12,123,2,23,0,0,0,0,0,0,0,1,0,0,353,94
LAR,2024,18,SEA,223,4,14,59,49,4,0,32,0,0,4,9,3,53,2,28,1,4,5,63,5,34,0,0,0,0,1,0,1,1,1,0,237,140
LV,2024,1,LAC,144,1,6,135,26,9,3,4,1,2,5,39,3,38,2,15,0,0,2,33,1,13,0,1,0,1,0,0,0,0,0,0,150,167
LV,2024,2,BAL,247,1,45,84,22,0,1,12,2,10,7,91,3,40,1,13,0,0,2,26,5,55,0,1,0,1,0,0,0,0,0,0,292,128
LV,2024,3,CAR,319,3,-2,114,17,2,5,55,2,13,8,122,3,40,3,18,2,42,3,29,0,0,0,1,1,1,1,0,0,0,0,0,317,199
LV,2024,4,CLE,176,1,32,58,2,0,7,27,1,5,4,35,6,72,1,11,1,3,1,10,3,13,0,0,0,0,0,0,0,0,1,1,208,92
LV,2024,5,DEN,206,2,9,61,22,17,5,50,4,8,2,32,1,9,2,48,2,27,1,8,2,24,1,0,1,0,1,0,0,0,0,1,215,141
LV,2024,6,PIT,145,0,59,106,18,0,2,16,3,11,3,53,2,36,0,0,0,0,2,16,2,13,2,1,0,0,0,0,0,0,0,0,204,151
LV,2024,7,LAR,154,0,-2,76,11,30,0,0,0,0,6,51,1,9,4,57,0,0,2,32,1,5,0,2,0,0,0,0,0,0,0,1,152,87
LV,2024,8,KC,262,2,17,59,6,0,1,4,3,38,4,37,2,29,3,33,1,8,10,90,3,23,0,1,0,1,0,0,0,1,0,0,279,107
LV,2024,9,CIN,251,5,10,120,0,0,5,37,0,0,7,43,1,10,0,0,1,9,5,100,8,52,0,1,0,0,1,0,0,2,1,0,261,157
LV,2024,11,MIA,288,3,0,73,2,7,4,32,1,2,7,61,2,37,2,13,3,11,6,101,3,31,0,1,0,1,0,0,0,2,0,0,288,109
LV,2024,12,DEN,273,2,5,-2,62,-2,2,6,1,8,8,97,2,4,6,80,5,75,1,3,0,0,0,0,0,2,0,0,0,0,0,0,278,74
LV,2024,13,KC,306,1,4,15,44,0,2,0,2,20,5,54,4,90,1,6,1,10,7,68,4,58,0,0,0,0,0,1,0,0,0,0,310,79
LV,2024,14,TB,295,3,12,3,137,0,1,15,2,19,4,69,4,63,4,59,0,0,3,70,0,0,0,0,2,0,0,2,0,0,0,0,307,174
LV,2024,15,ATL,112,1,0,125,43,0,1,10,0,0,3,53,0,0,1,14,0,0,4,28,2,7,0,0,0,1,0,0,0,0,0,0,112,178
LV,2024,16,JAX,247,1,0,22,50,0,2,15,2,9,9,132,6,54,0,0,1,3,2,22,3,12,0,0,1,1,0,0,0,0,0,0,247,96
LV,2024,17,NO,218,1,46,12,23,0,1,12,3,26,0,0,3,17,3,27,1,23,6,66,3,47,0,0,0,0,0,0,0,0,1,0,264,73
LV,2024,18,LAC,346,2,42,63,33,-1,3,12,0,0,5,95,13,186,1,5,1,6,5,42,0,0,0,0,1,0,0,0,1,1,0,0,388,108
MIA,2024,1,JAX,162,1,8,44,73,3,2,15,0,0,4,47,1,30,3,62,1,3,1,5,0,0,0,1,0,1,0,0,0,0,0,0,170,132
MIA,2024,2,BUF,139,1,0,78,28,2,1,17,2,32,5,54,0,0,1,3,0,0,4,33,0,0,0,3,0,0,0,0,0,0,0,1,139,155
MIA,2024,3,SEA,289,1,-2,91,11,0,3,16,0,0,4,104,3,39,5,46,1,2,6,60,4,22,0,2,0,1,0,0,0,0,0,0,287,118
MIA,2024,4,TEN,110,0,5,88,39,10,2,20,2,0,1,5,2,31,2,31,1,13,1,5,1,5,0,1,1,0,0,0,0,0,0,0,115,147
