defense,season,week,opponent,QB PY,P TD,QB RY,RB1 RY,RB2+ RY,WR RY,RB1 Recep,RB1 RecY,RB2 Recep,RB2 RecY,WR1 Recep,WR1 RecY,WR2 Recep,WR2 RecY,WR3 Recep,WR3 RecY,WR4+ Recep,WR4+ RecY,TE1 Recep,TE1 RecY,TE2 Recep,TE2 RecY,QB TD,RB1 TD,RB2 TD,WR1 TD,WR2 TD,WR3 TD,WR4+ TD,TE1 TD,TE2 TD,D/ST TD,QB P+R,RB R+R
BAL,2024,3,DAL,379,2,7,32,11,1,3,24,4,55,4,67,3,42,2,16,5,75,6,95,1,5,1,0,0,0,1,0,1,0,0,0,386,122
BAL,2024,4,BUF,182,0,21,39,14,7,1,9,0,0,4,62,3,51,1,5,2,8,5,47,1,0,0,0,1,0,0,0,0,0,0,0,203,62
BAL,2024,5,CIN,392,5,1,24,46,0,3,28,3,8,10,193,9,83,1,39,0,0,2,31,2,10,0,0,1,2,2,0,0,0,0,0,393,106
BAL,2024,6,WAS,269,2,22,21,9,0,4,47,0,0,6,53,4,27,4,58,2,16,4,68,0,0,0,0,0,2,0,0,0,0,0,0,291,77
BAL,2024,7,TB,370,3,22,40,52,11,6,71,4,63,7,65,1,25,3,15,2,31,8,100,0,0,0,2,1,0,1,0,0,0,0,0,392,226
BAL,2024,8,CLE,334,3,2,26,52,0,0,0,1,3,5,79,8,85,7,99,0,0,5,61,1,7,0,0,0,0,0,2,0,1,0,0,336,81
BAL,2024,9,DEN,223,0,36,42,44,0,2,42,3,10,7,122,2,11,1,19,3,15,0,0,1,4,1,0,0,0,0,0,0,0,0,0,259,138
BAL,2024,10,CIN,428,4,6,42,0,0,9,52,0,0,11,264,2,29,1,11,0,0,4,30,7,42,0,1,0,3,0,0,0,0,1,0,434,94
BAL,2024,11,PIT,205,0,18,63,41,0,4,30,5,27,8,89,1,-1,0,0,1,4,2,14,2,42,0,0,0,0,0,0,0,0,0,0,223,161
BAL,2024,12,LAC,218,0,29,40,14,0,3,19,0,0,6,83,0,0,3,38,4,24,4,47,1,7,1,0,1,0,0,0,0,0,0,0,247,73
BAL,2024,13,PHI,118,1,29,107,4,0,2,10,0,0,5,66,1,7,0,0,0,0,3,35,0,0,1,1,0,0,0,0,0,1,0,0,147,121
BAL,2024,15,NYG,191,1,-1,31,25,0,1,4,3,16,10,82,4,38,1,16,0,0,3,35,0,0,0,0,1,1,0,0,0,0,0,0,190,76
BAL,2024,16,PIT,217,2,27,42,48,0,0,0,6,56,4,65,2,27,3,24,2,25,3,16,2,4,0,0,1,0,0,0,0,0,1,0,244,146
BAL,2024,17,HOU,190,0,7,26,25,0,2,13,1,6,3,59,5,48,2,21,2,21,2,21,1,1,0,0,0,0,0,0,0,0,0,0,197,70
BAL,2024,18,CLE,183,1,5,27,24,0,1,8,1,15,6,63,3,36,0,0,0,0,6,60,1,1,0,0,0,0,0,0,0,1,0,0,188,74
BUF,2024,1,ARI,162,1,57,50,13,4,3,33,3,31,6,47,1,4,1,5,0,0,5,30,2,12,0,1,0,0,0,1,0,0,0,1,219,127
BUF,2024,2,MIA,225,1,21,96,6,16,7,69,2,12,3,24,4,41,1,5,1,13,6,53,1,8,0,1,0,0,0,0,0,0,0,0,246,183
BUF,2024,3,JAX,200,1,3,68,21,0,4,17,0,0,8,79,5,48,2,18,3,17,2,12,2,9,0,0,0,0,0,0,0,1,0,0,203,106
BUF,2024,4,BAL,157,2,54,199,18,0,3,10,6,78,1,10,1,23,2,10,0,0,1,26,0,0,1,2,1,0,0,0,0,0,0,0,211,305
BUF,2024,5,HOU,331,1,27,42,30,-5,2,5,6,57,2,78,6,82,4,38,2,31,4,34,2,6,0,1,0,1,0,0,0,0,0,0,358,134
