week,date,vis,home,boxscore
6,2024-10-13,JAX,CHI,202410130chi
6,2024-10-13,CLE,PHI,202410130phi
6,2024-10-13,IND,TEN,202410130oti
6,2024-10-13,ARI,GB,202410130gnb
6,2024-10-13,HOU,NE,202410130nwe
6,2024-10-13,TB,NO,202410130nor
6,2024-10-13,WAS,BAL,202410130rav
6,2024-10-13,LAC,DEN,202410130den
6,2024-10-13,PIT,LV,202410130rai
6,2024-10-13,ATL,CAR,202410130car
6,2024-10-13,DET,DAL,202410130dal
6,2024-10-13,CIN,NYG,202410130nyg
6,2024-10-14,BUF,NYJ,202410140nyj
7,2024-10-17,DEN,NO,202410170nor
7,2024-10-20,NE,JAX,202410200jax
7,2024-10-20,DET,MIN,202410200min
7,2024-10-20,SEA,ATL,202410200atl
7,2024-10-20,TEN,BUF,202410200buf
7,2024-10-20,CIN,CLE,202410200cle
7,2024-10-20,MIA,IND,202410200clt
7,2024-10-20,HOU,GB,202410200gnb
7,2024-10-20,PHI,NYG,202410200nyg
7,2024-10-20,CAR,WAS,202410200was
7,2024-10-20,LV,LAR,202410200ram
7,2024-10-20,KC,SF,202410200sfo
7,2024-10-20,NYJ,PIT,202410200pit
7,2024-10-21,BAL,TB,202410210tam
7,2024-10-21,LAC,ARI,202410210crd
8,2024-10-24,MIN,LAR,202410240ram
8,2024-10-27,TEN,DET,202410270det
8,2024-10-27,ATL,TB,202410270tam
8,2024-10-27,PHI,CIN,202410270cin
8,2024-10-27,BAL,CLE,202410270cle
8,2024-10-27,IND,HOU,202410270htx
8,2024-10-27,ARI,MIA,202410270mia
8,2024-10-27,GB,JAX,202410270jax
8,2024-10-27,NYJ,NE,202410270nwe
8,2024-10-27,BUF,SEA,202410270sea
8,2024-10-27,NO,LAC,202410270sdg
8,2024-10-27,CHI,WAS,202410270was
8,2024-10-27,KC,LV,202410270rai
8,2024-10-27,CAR,DEN,202410270den
8,2024-10-27,DAL,SF,202410270sfo
8,2024-10-28,NYG,PIT,202410280pit
9,2024-10-31,HOU,NYJ,202410310nyj
9,2024-11-03,DAL,ATL,202411030atl
9,2024-11-03,MIA,BUF,202411030buf
9,2024-11-03,NO,CAR,202411030car
9,2024-11-03,LV,CIN,202411030cin
9,2024-11-03,LAC,CLE,202411030cle
9,2024-11-03,DEN,BAL,202411030rav
9,2024-11-03,NE,TEN,202411030oti
9,2024-11-03,WAS,NYG,202411030nyg
9,2024-11-03,CHI,ARI,202411030crd
9,2024-11-03,JAX,PHI,202411030phi
9,2024-11-03,DET,GB,202411030gnb
9,2024-11-03,LAR,SEA,202411030sea
9,2024-11-03,IND,MIN,202411030min
9,2024-11-04,TB,KC,202411040kan
10,2024-11-07,CIN,BAL,202411070rav
10,2024-11-10,NYG,CAR,202411100car
10,2024-11-10,NE,CHI,202411100chi
10,2024-11-10,PIT,WAS,202411100was
10,2024-11-10,SF,TB,202411100tam
10,2024-11-10,ATL,NO,202411100nor
10,2024-11-10,BUF,IND,202411100clt
10,2024-11-10,DEN,KC,202411100kan
10,2024-11-10,MIN,JAX,202411100jax
10,2024-11-10,TEN,LAC,202411100sdg
10,2024-11-10,PHI,DAL,202411100dal
10,2024-11-10,NYJ,ARI,202411100crd
10,2024-11-10,DET,HOU,202411100htx
10,2024-11-11,MIA,LAR,202411110ram
11,2024-11-14,WAS,PHI,202411140phi
11,2024-11-17,GB,CHI,202411170chi
11,2024-11-17,CLE,NO,202411170nor
11,2024-11-17,JAX,DET,202411170det
11,2024-11-17,LV,MIA,202411170mia
11,2024-11-17,MIN,TEN,202411170oti
11,2024-11-17,BAL,PIT,202411170pit
11,2024-11-17,IND,NYJ,202411170nyj
11,2024-11-17,LAR,NE,202411170nwe
11,2024-11-17,SEA,SF,202411170sfo
11,2024-11-17,ATL,DEN,202411170den
11,2024-11-17,KC,BUF,202411170buf
11,2024-11-17,CIN,LAC,202411170sdg
11,2024-11-18,HOU,DAL,202411180dal
12,2024-11-21,PIT,CLE,202411210cle
12,2024-11-24,KC,CAR,202411240car
12,2024-11-24,MIN,CHI,202411240chi
12,2024-11-24,DAL,WAS,202411240was
12,2024-11-24,NE,MIA,202411240mia
12,2024-11-24,TB,NYG,202411240nyg
12,2024-11-24,DET,IND,202411240clt
12,2024-11-24,TEN,HOU,202411240htx
12,2024-11-24,DEN,LV,202411240rai
12,2024-11-24,ARI,SEA,202411240sea
12,2024-11-24,SF,GB,202411240gnb
12,2024-11-24,PHI,LAR,202411240ram
12,2024-11-25,BAL,LAC,202411250sdg
13,2024-11-28,CHI,DET,202411280det
13,2024-11-28,NYG,DAL,202411280dal
13,2024-11-28,MIA,GB,202411280gnb
13,2024-11-29,LV,KC,202411290kan
13,2024-12-01,LAC,ATL,202412010atl
13,2024-12-01,PIT,CIN,202412010cin
13,2024-12-01,ARI,MIN,202412010min
13,2024-12-01,SEA,NYJ,202412010nyj
13,2024-12-01,TEN,WAS,202412010was
13,2024-12-01,IND,NE,202412010nwe
13,2024-12-01,HOU,JAX,202412010jax
13,2024-12-01,TB,CAR,202412010car
13,2024-12-01,LAR,NO,202412010nor
13,2024-12-01,PHI,BAL,202412010rav
13,2024-12-01,SF,BUF,202412010buf
13,2024-12-02,CLE,DEN,202412020den
14,2024-12-05,GB,DET,202412050det
14,2024-12-08,ATL,MIN,202412080min
14,2024-12-08,CAR,PHI,202412080phi
14,2024-12-08,CLE,PIT,202412080pit
14,2024-12-08,JAX,TEN,202412080oti
14,2024-12-08,NYJ,MIA,202412080mia
14,2024-12-08,NO,NYG,202412080nyg
14,2024-12-08,LV,TB,202412080tam
14,2024-12-08,SEA,ARI,202412080crd
14,2024-12-08,BUF,LAR,202412080ram
14,2024-12-08,CHI,SF,202412080sfo
14,2024-12-08,LAC,KC,202412080kan
14,2024-12-09,CIN,DAL,202412090dal
15,2024-12-12,LAR,SF,202412120sfo
15,2024-12-15,DAL,CAR,202412150car
15,2024-12-15,CIN,TEN,202412150oti
15,2024-12-15,KC,CLE,202412150cle
15,2024-12-15,MIA,HOU,202412150htx
15,2024-12-15,NYJ,JAX,202412150jax
15,2024-12-15,WAS,NO,202412150nor
15,2024-12-15,BAL,NYG,202412150nyg
15,2024-12-15,BUF,DET,202412150det
15,2024-12-15,IND,DEN,202412150den
15,2024-12-15,NE,ARI,202412150crd
15,2024-12-15,PIT,PHI,202412150phi
15,2024-12-15,TB,LAC,202412150sdg
15,2024-12-15,GB,SEA,202412150sea
15,2024-12-16,CHI,MIN,202412160min
15,2024-12-16,ATL,LV,202412160rai
16,2024-12-19,DEN,LAC,202412190sdg
16,2024-12-21,HOU,KC,202412210kan
16,2024-12-21,PIT,BAL,202412210rav
16,2024-12-22,NYG,ATL,202412220atl
16,2024-12-22,ARI,CAR,202412220car
16,2024-12-22,DET,CHI,202412220chi
16,2024-12-22,CLE,CIN,202412220cin
16,2024-12-22,TEN,IND,202412220clt
16,2024-12-22,LAR,NYJ,202412220nyj
16,2024-12-22,PHI,WAS,202412220was
16,2024-12-22,MIN,SEA,202412220sea
16,2024-12-22,NE,BUF,202412220buf
16,2024-12-22,JAX,LV,202412220rai
16,2024-12-22,SF,MIA,202412220mia
16,2024-12-22,TB,DAL,202412220dal
16,2024-12-23,NO,GB,202412230gnb
17,2024-12-25,KC,PIT,202412250pit
17,2024-12-25,BAL,HOU,202412250htx
17,2024-12-26,SEA,CHI,202412260chi
17,2024-12-28,LAC,NE,202412280nwe
17,2024-12-28,DEN,CIN,202412280cin
17,2024-12-28,ARI,LAR,202412280ram
17,2024-12-29,NYJ,BUF,202412290buf
17,2024-12-29,CAR,TB,202412290tam
17,2024-12-29,IND,NYG,202412290nyg
17,2024-12-29,DAL,PHI,202412290phi
17,2024-12-29,TEN,JAX,202412290jax
17,2024-12-29,LV,NO,202412290nor
17,2024-12-29,MIA,CLE,202412290cle
17,2024-12-29,GB,MIN,202412290min
17,2024-12-29,ATL,WAS,202412290was
17,2024-12-30,DET,SF,202412300sfo
18,2025-01-04,CLE,BAL,202501040rav
18,2025-01-04,CIN,PIT,202501040pit
18,2025-01-05,CAR,ATL,202501050atl
18,2025-01-05,BUF,NE,202501050nwe
18,2025-01-05,CHI,GB,202501050gnb
18,2025-01-05,JAX,IND,202501050clt
18,2025-01-05,WAS,DAL,202501050dal
18,2025-01-05,HOU,TEN,202501050oti
18,2025-01-05,NO,TB,202501050tam
18,2025-01-05,NYG,PHI,202501050phi
18,2025-01-05,SF,ARI,202501050crd
18,2025-01-05,KC,DEN,202501050den
18,2025-01-05,MIA,NYJ,202501050nyj
18,2025-01-05,LAC,LV,202501050rai
18,2025-01-05,SEA,LAR,202501050ram
18,2025-01-05,MIN,DET,202501050det
