week,date,vis,home,boxscore
1,2024-09-05,BAL,KC,202409050kan
1,2024-09-06,GB,PHI,202409060phi
1,2024-09-08,PIT,ATL,202409080atl
1,2024-09-08,ARI,BUF,202409080buf
1,2024-09-08,CAR,NO,202409080nor
1,2024-09-08,TEN,CHI,202409080chi
1,2024-09-08,NE,CIN,202409080cin
1,2024-09-08,HOU,IND,202409080clt
1,2024-09-08,JAX,MIA,202409080mia
1,2024-09-08,MIN,NYG,202409080nyg
1,2024-09-08,DEN,SEA,202409080sea
1,2024-09-08,LV,LAC,202409080sdg
1,2024-09-08,DAL,CLE,202409080cle
1,2024-09-08,WAS,TB,202409080tam
1,2024-09-08,LAR,DET,202409080det
1,2024-09-09,NYJ,SF,202409090sfo
2,2024-09-12,BUF,MIA,202409120mia
2,2024-09-15,LAC,CAR,202409150car
2,2024-09-15,CLE,JAX,202409150jax
2,2024-09-15,IND,GB,202409150gnb
2,2024-09-15,NO,DAL,202409150dal
2,2024-09-15,TB,DET,202409150det
2,2024-09-15,SF,MIN,202409150min
2,2024-09-15,SEA,NE,202409150nwe
2,2024-09-15,NYG,WAS,202409150was
2,2024-09-15,NYJ,TEN,202409150oti
2,2024-09-15,LV,BAL,202409150rav
2,2024-09-15,LAR,ARI,202409150crd
2,2024-09-15,CIN,KC,202409150kan
2,2024-09-15,PIT,DEN,202409150den
2,2024-09-15,CHI,HOU,202409150htx
2,2024-09-16,ATL,PHI,202409160phi
3,2024-09-19,NE,NYJ,202409190nyj
3,2024-09-22,CHI,IND,202409220clt
3,2024-09-22,NYG,CLE,202409220cle
3,2024-09-22,DEN,TB,202409220tam
3,2024-09-22,GB,TEN,202409220oti
3,2024-09-22,HOU,MIN,202409220min
3,2024-09-22,PHI,NO,202409220nor
3,2024-09-22,LAC,PIT,202409220pit
3,2024-09-22,CAR,LV,202409220rai
3,2024-09-22,MIA,SEA,202409220sea
3,2024-09-22,DET,ARI,202409220crd
3,2024-09-22,BAL,DAL,202409220dal
3,2024-09-22,SF,LAR,202409220ram
3,2024-09-22,KC,ATL,202409220atl
3,2024-09-23,JAX,BUF,202409230buf
3,2024-09-23,WAS,CIN,202409230cin
4,2024-09-26,DAL,NYG,202409260nyg
4,2024-09-29,NO,ATL,202409290atl
4,2024-09-29,CIN,CAR,202409290car
4,2024-09-29,LAR,CHI,202409290chi
4,2024-09-29,PIT,IND,202409290clt
4,2024-09-29,DEN,NYJ,202409290nyj
4,2024-09-29,MIN,GB,202409290gnb
4,2024-09-29,JAX,HOU,202409290htx
4,2024-09-29,PHI,TB,202409290tam
4,2024-09-29,WAS,ARI,202409290crd
4,2024-09-29,NE,SF,202409290sfo
4,2024-09-29,CLE,LV,202409290rai
4,2024-09-29,KC,LAC,202409290sdg
4,2024-09-29,BUF,BAL,202409290rav
4,2024-09-30,TEN,MIA,202409300mia
4,2024-09-30,SEA,DET,202409300det
5,2024-10-03,TB,ATL,202410030atl
5,2024-10-06,NYJ,MIN,202410060min
5,2024-10-06,BUF,HOU,202410060htx
5,2024-10-06,CAR,CHI,202410060chi
5,2024-10-06,BAL,CIN,202410060cin
5,2024-10-06,CLE,WAS,202410060was
5,2024-10-06,IND,JAX,202410060jax
5,2024-10-06,MIA,NE,202410060nwe
5,2024-10-06,ARI,SF,202410060sfo
5,2024-10-06,LV,DEN,202410060den
5,2024-10-06,GB,LAR,202410060ram
5,2024-10-06,NYG,SEA,202410060sea
5,2024-10-06,DAL,PIT,202410060pit
5,2024-10-07,NO,KC,202410070kan
6,2024-10-10,SF,SEA,202410100sea
