player,team,slot,injury,pos_row,depth
Josh Allen,BUF,QB1,1,QB,1
Kyle Allen,BUF,QB2,1,QB,2
James Cook III,BUF,RB1,1,RB,1
Ray Davis,BUF,RB2,1,RB,2
Ty Johnson,BUF,RB3,0,RB,3
DJ Moore,BUF,WR1,1,WR1,1
Joshua Palmer,BUF,WR4+,1,WR1,2
Khalil Shakir,BUF,WR2,1,WR2,1
Skyler Bell,BUF,WR4+,1,WR2,2
Keon Coleman,BUF,WR3,1,WR3,1
Tyrell Shavers,BUF,WR4+,-1,WR3,2
Dalton Kincaid,BUF,TE1,1,TE,1
Dawson Knox,BUF,TE2,1,TE,2
Jackson Hawes,BUF,TE3,1,TE,3
Keleki Latu,BUF,TE4,1,TE,4
Malik Willis,MIA,QB1,1,QB,1
Kyle McCord,MIA,QB2,1,QB,2
Brady Cook,MIA,QB3,1,QB,3
De'Von Achane,MIA,RB1,1,RB,1
Jaylen Wright,MIA,RB2,1,RB,2
Ollie Gordon II,MIA,RB3,1,RB,3
Malik Washington,MIA,WR1,1,WR1,1
Kevin Coleman Jr.,MIA,WR4+,1,WR1,2
Caleb Douglas,MIA,WR2,1,WR2,1
Jalen Tolbert,MIA,WR4+,1,WR2,2
Chris Bell,MIA,WR3,1,WR3,1
Ryan Miller,MIA,WR4+,1,WR3,2
Greg Dulcich,MIA,TE1,1,TE,1
Will Kacmarek,MIA,TE2,1,TE,2
Seydou Traore,MIA,TE3,0,TE,3
Justin Joly,MIA,TE4,1,TE,4
DJ Herman,MIA,FB1,1,FB,1
Drake Maye,NE,QB1,1,QB,1
Tommy DeVito,NE,QB2,1,QB,2
Behren Morton,NE,QB3,1,QB,3
Rhamondre Stevenson,NE,RB1,1,RB,1
TreVeyon Henderson,NE,RB2,1,RB,2
Corey Kiner,NE,RB3,1,RB,3
Myles Montgomery,NE,RB4,-1,RB,4
Romeo Doubs,NE,WR1,1,WR1,1
Kyle Williams,NE,WR4+,1,WR1,2
Jeremiah Webb,NE,WR4+,-1,WR1,3
DeMario Douglas,NE,WR2,1,WR2,1
Efton Chism III,NE,WR4+,1,WR2,2
Mack Hollins,NE,WR3,1,WR3,1
A.J. Brown,NE,WR4+,-1,WR3,2
Hunter Henry,NE,TE1,1,TE,1
Eli Raridon,NE,TE2,1,TE,2
Tanner Arkin,NE,TE3,1,TE,3
Cameron Latu,NE,TE4,1,TE,4
Reggie Gilliam,NE,FB1,1,FB,1
Geno Smith,NYJ,QB1,1,QB,1
Cade Klubnik,NYJ,QB2,1,QB,2
Breece Hall,NYJ,RB1,1,RB,1
Braelon Allen,NYJ,RB2,1,RB,2
Isaiah Davis,NYJ,RB3,1,RB,3
Kene Nwangwu,NYJ,RB4,0,RB,4
Garrett Wilson,NYJ,WR1,1,WR1,1
Isaiah Williams,NYJ,WR4+,1,WR1,2
Adonai Mitchell,NYJ,WR2,1,WR2,1
Arian Smith,NYJ,WR4+,1,WR2,2
Omar Cooper Jr.,NYJ,WR3,0,WR3,1
Tim Patrick,NYJ,WR4+,-1,WR3,2
Mason Taylor,NYJ,TE1,1,TE,1
Kenyon Sadiq,NYJ,TE2,1,TE,2
Jeremy Ruckert,NYJ,TE3,1,TE,3
Andrew Beck,NYJ,TE4,1,TE,4
Lamar Jackson,BAL,QB1,1,QB,1
Tyler Huntley,BAL,QB2,1,QB,2
Joe Fagnano,BAL,QB3,1,QB,3
Skylar Thompson,BAL,QB4,-1,QB,4
Derrick Henry,BAL,RB1,1,RB,1
Justice Hill,BAL,RB2,1,RB,2
Rasheen Ali,BAL,RB3,1,RB,3
Adam Randall,BAL,RB4,-1,RB,4
Zay Flowers,BAL,WR1,0,WR1,1
Elijah Sarratt,BAL,WR4+,1,WR1,2
Rashod Bateman,BAL,WR2,1,WR2,1
LaJohntay Wester,BAL,WR4+,1,WR2,2
Devontez Walker,BAL,WR3,1,WR3,1
Ja'Kobi Lane,BAL,WR4+,-1,WR3,2
Mark Andrews,BAL,TE1,1,TE,1
Durham Smythe,BAL,TE2,1,TE,2
Matthew Hibner,BAL,TE3,1,TE,3
Josh Cuevas,BAL,TE4,1,TE,4
Joe Burrow,CIN,QB1,0,QB,1
Joe Flacco,CIN,QB2,1,QB,2
Chase Brown,CIN,RB1,1,RB,1
Samaje Perine,CIN,RB2,1,RB,2
Tahj Brooks,CIN,RB3,1,RB,3
Ja'Marr Chase,CIN,WR1,1,WR1,1
Colbie Young,CIN,WR4+,1,WR1,2
Tee Higgins,CIN,WR2,1,WR2,1
Dohnte Meyers,CIN,WR4+,1,WR2,2
Andrei Iosivas,CIN,WR3,1,WR3,1
Ke'Shawn Williams,CIN,WR4+,1,WR3,2
Mike Gesicki,CIN,TE1,1,TE,1
Drew Sample,CIN,TE2,1,TE,2
Erick All Jr.,CIN,TE3,1,TE,3
Jack Endries,CIN,TE4,1,TE,4
Deshaun Watson,CLE,QB1,1,QB,1
Shedeur Sanders,CLE,QB2,1,QB,2
Taylen Green,CLE,QB3,1,QB,3
Dillon Gabriel,CLE,QB4,-1,QB,4
Quinshon Judkins,CLE,RB1,1,RB,1
Raheim Sanders,CLE,RB2,1,RB,2
Jaleel McLaughlin,CLE,RB3,1,RB,3
Dylan Sampson,CLE,RB4,-1,RB,4
Jerry Jeudy,CLE,WR1,1,WR1,1
Isaiah Bond,CLE,WR4+,1,WR1,2
KC Concepcion,CLE,WR2,1,WR2,1
Tylan Wallace,CLE,WR4+,1,WR2,2
Denzel Boston,CLE,WR3,1,WR3,1
Malachi Corley,CLE,WR4+,1,WR3,2
Harold Fannin Jr.,CLE,TE1,1,TE,1
Blake Whiteheart,CLE,TE2,1,TE,2
Carsen Ryan,CLE,TE3,1,TE,3
