season,defense,QB PY avg,P TD avg,QB RY avg,RB1 RY avg,RB2+ RY avg,WR RY avg,RB1 Recep avg,RB1 RecY avg,RB2 Recep avg,RB2 RecY avg,WR1 Recep avg,WR1 RecY avg,WR2 Recep avg,WR2 RecY avg,WR3 Recep avg,WR3 RecY avg,WR4+ Recep avg,WR4+ RecY avg,TE1 Recep avg,TE1 RecY avg,TE2 Recep avg,TE2 RecY avg,QB TD avg,RB1 TD avg,RB2 TD avg,WR1 TD avg,WR2 TD avg,WR3 TD avg,WR4+ TD avg,TE1 TD avg,TE2 TD avg,D/ST TD avg,QB P+R avg,RB R+R avg,QB PY rank,P TD rank,QB RY rank,RB1 RY rank,RB2+ RY rank,WR RY rank,RB1 Recep rank,RB1 RecY rank,RB2 Recep rank,RB2 RecY rank,WR1 Recep rank,WR1 RecY rank,WR2 Recep rank,WR2 RecY rank,WR3 Recep rank,WR3 RecY rank,WR4+ Recep rank,WR4+ RecY rank,TE1 Recep rank,TE1 RecY rank,TE2 Recep rank,TE2 RecY rank,QB TD rank,RB1 TD rank,RB2 TD rank,WR1 TD rank,WR2 TD rank,WR3 TD rank,WR4+ TD rank,TE1 TD rank,TE2 TD rank,D/ST TD rank,QB P+R rank,RB R+R rank,QB *,RB1 *,RB2 *,WR1 *,WR2 *,WR3 *,WR4+ *,TE1 *,TE2 *,D/ST *
2024,DET,259.06,1.06,26.71,48.47,20.18,3.12,2.53,22.71,1.06,12.12,6.24,76.12,3.71,43.41,3.35,54.35,1.06,11.24,3.06,29.94,0.94,9.18,0.35,0.47,0.35,0.35,0.24,0.18,0.0,0.12,0.06,0.06,285.76,103.47,5.0,30.5,4.0,29.0,30.0,22.0,18.5,7.5,31.0,18.0,2.0,4.0,9.5,16.0,1.0,1.0,22.5,23.0,24.0,26.0,28.0,29.0,4.5,23.0,9.0,25.0,22.5,14.5,29.0,27.0,23.5,22.0,2.0,30.5,9.2,21.7,23.7,10.33,16.0,5.5,24.83,25.67,26.83,22.0
2024,GB,232.88,1.35,15.76,60.06,22.24,1.29,2.65,19.24,2.59,20.24,5.06,54.12,3.35,43.71,2.53,32.53,0.76,6.0,4.12,45.0,1.35,12.06,0.06,0.65,0.24,0.35,0.18,0.41,0.0,0.06,0.18,0.18,248.65,121.76,17.5,23.0,24.0,21.0,27.0,28.5,15.0,15.0,1.0,2.0,16.0,28.0,19.5,15.0,4.5,7.0,28.5,32.0,9.0,8.0,18.5,18.0,28.5,14.0,18.5,25.0,28.0,1.0,29.0,31.5,7.5,6.0,21.0,18.0,22.8,16.6,13.3,23.0,20.83,4.17,29.83,16.17,14.67,6.0
2024,HOU,220.53,1.82,23.53,67.24,19.0,4.24,2.59,17.76,1.18,10.24,4.76,60.53,3.12,43.88,2.12,33.06,1.12,13.88,2.94,30.35,1.35,11.35,0.18,0.47,0.12,0.53,0.35,0.24,0.12,0.41,0.06,0.0,244.06,114.24,26.5,3.0,11.0,14.0,32.0,14.0,17.0,23.0,28.0,25.0,26.0,22.0,28.0,14.0,17.0,4.0,19.5,16.0,25.5,25.0,18.5,21.0,17.5,23.0,29.0,7.0,12.0,8.0,10.5,2.5,23.5,28.5,25.0,25.0,16.6,20.4,27.8,18.33,18.0,9.67,15.33,17.67,21.0,28.5
2024,IND,242.35,1.59,18.94,68.41,38.71,5.76,2.94,19.12,1.76,15.47,4.82,74.12,3.47,46.24,2.18,21.24,1.12,9.41,3.94,38.24,2.0,19.82,0.24,0.47,0.41,0.29,0.29,0.35,0.06,0.24,0.29,0.18,261.29,141.71,8.0,11.0,19.0,12.0,7.0,6.5,7.0,16.0,14.0,10.0,23.0,7.0,15.5,10.5,14.5,22.0,19.5,27.0,12.0,15.0,4.5,5.0,11.0,23.0,4.0,30.5,18.0,2.5,19.5,12.5,2.5,6.0,10.5,6.0,11.9,12.8,8.2,20.17,14.67,13.0,22.0,13.17,4.0,6.0
2024,JAX,269.47,1.71,24.65,76.59,29.29,1.06,2.76,22.94,2.47,18.24,5.41,71.59,3.71,59.88,2.06,23.41,1.35,19.94,3.59,39.88,1.53,15.0,0.12,0.76,0.41,0.47,0.29,0.24,0.06,0.41,0.06,0.0,294.12,147.06,1.0,6.0,9.0,5.0,17.0,31.0,11.5,6.0,3.0,6.0,10.5,9.0,9.5,1.0,18.5,20.0,12.5,5.0,18.0,14.0,12.5,11.0,23.5,6.0,4.0,10.5,18.0,8.0,19.5,2.5,23.5,28.5,1.0,4.0,8.1,6.5,6.8,10.0,9.5,15.5,12.33,11.5,15.67,28.5
2024,KC,233.53,1.41,25.53,39.0,31.41,5.76,2.35,16.12,1.24,8.18,5.41,63.06,3.24,41.06,1.88,17.41,1.71,17.65,4.88,57.18,1.35,12.88,0.24,0.41,0.12,0.41,0.35,0.18,0.18,0.24,0.06,0.0,259.06,94.71,16.0,19.5,7.5,32.0,13.0,6.5,26.0,28.0,25.0,30.0,10.5,19.0,24.0,22.0,22.5,29.0,3.0,8.0,1.0,1.0,18.5,14.0,11.0,26.0,29.0,16.5,12.0,14.5,5.0,12.5,23.5,28.5,13.0,32.0,13.4,28.8,25.8,15.33,19.33,22.0,5.33,4.83,18.67,28.5
2024,LAC,221.12,1.41,23.06,54.71,38.0,0.65,3.12,18.18,1.88,10.12,5.65,69.65,2.76,34.82,2.18,32.76,0.65,10.18,3.24,31.76,2.12,13.82,0.18,0.06,0.35,0.59,0.18,0.35,0.0,0.12,0.0,0.0,244.18,121.0,25.0,19.5,13.0,25.0,9.0,32.0,3.5,20.0,12.5,26.0,5.5,12.0,31.5,27.0,14.5,6.0,31.5,25.0,23.0,23.0,3.0,12.0,17.5,32.0,9.0,4.5,28.0,2.5,29.0,27.0,31.0,28.5,24.0,20.0,19.8,20.1,15.3,7.33,28.83,7.67,28.5,24.33,15.33,28.5
2024,LAR,241.24,1.71,21.12,79.88,21.88,6.53,2.94,22.71,1.18,11.47,4.76,77.35,3.18,36.76,1.88,20.53,0.65,7.65,4.65,51.71,1.59,13.06,0.18,0.35,0.24,0.76,0.18,0.12,0.24,0.24,0.18,0.0,262.35,135.94,9.0,6.0,14.0,3.5,28.0,4.0,7.0,7.5,28.0,20.5,26.0,3.0,26.5,26.0,22.5,23.0,31.5,30.0,2.0,2.0,10.5,13.0,17.5,28.0,18.5,1.5,28.0,23.0,2.0,12.5,7.5,28.5,9.0,13.0,11.1,11.8,21.6,10.17,26.83,22.83,21.17,5.5,10.33,28.5
2024,LV,234.65,1.71,16.65,66.12,30.47,3.65,2.65,18.06,1.59,10.06,5.12,62.59,3.29,43.18,2.0,23.47,1.12,12.76,3.65,43.76,2.35,20.76,0.18,0.53,0.35,0.53,0.18,0.18,0.06,0.35,0.18,0.18,251.29,124.71,15.0,6.0,22.0,16.0,16.0,18.5,15.0,21.0,18.5,27.0,14.0,21.0,21.5,18.0,20.0,18.5,19.5,22.0,15.5,9.0,1.0,3.0,17.5,20.5,9.0,7.0,28.0,14.5,19.5,5.0,7.5,6.0,18.5,17.0,15.8,17.9,17.5,14.0,22.5,17.67,20.33,9.83,3.83,6.0
2024,MIA,225.24,1.29,10.35,47.71,38.59,7.24,2.65,22.06,1.47,11.47,5.0,59.65,2.82,33.82,2.29,29.41,1.47,12.94,4.53,46.47,1.24,9.41,0.0,0.65,0.29,0.41,0.24,0.12,0.0,0.12,0.18,0.12,235.59,119.82,24.0,26.0,31.0,30.0,8.0,3.0,15.0,9.0,20.0,20.5,18.5,23.0,30.0,30.0,9.0,8.0,9.5,20.0,4.0,6.0,23.0,27.5,32.0,14.0,14.0,16.5,22.5,23.0,29.0,27.0,7.5,14.0,26.0,21.0,27.8,17.8,16.7,19.33,27.5,13.33,19.5,12.33,19.33,14.0
